	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER-/LN-"	"ER-/LN-"	"ER +/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN+"	"ER-/LN+"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"
"AF000430_at"	170	229	14	81	271	22	61	49	103	73	10	10	10	10	26	53	10	10	69	28	47	10	10	10	10	88	211	10	201	10	20	187	57	93	57	90	78	10	22	148	51	57	191	10	82	14	115	521	76
"AF002224_at"	57	51	10	21	10	308	10	133	296	58	11333	13735	38	189	60	228	273	167	10	298	2953	360	182	10	528	367	373	245	314	2949	268	302	398	309	60	37	42	125	190	177	520	142	72	348	10	288	292	127	80
"AF003743_at"	137	10	260	279	139	389	170	171	274	10	309	615	183	166	73	123	10	199	1296	242	10	332	92	10	335	543	10	163	63	10	252	10	105	229	410	175	10	149	250	36	179	31	10	10	55	278	10	129	10
"AF009426_at"	116	10	10	10	10	42	10	33	10	10	10	10	40	40	95	10	53	10	10	110	10	34	10	10	10	10	17	10	10	12	149	490	68	1117	150	175	123	310	486	262	10	115	290	120	181	12	95	158	28
"AF015910_at"	10	295	10	155	10	488	158	361	149	10	10	10	197	355	10	110	422	10	10	118	345	204	10	159	246	903	554	166	244	10	813	51	215	1029	1172	28	176	718	373	303	258	514	575	653	132	1213	1064	1437	1720
"AFFX-BioB-5_st"	122	223	559	319	395	239	497	72	249	177	1342	249	10	208	399	324	10	10	10	145	10	185	390	585	206	97	10	361	10	10	286	162	14	134	30	185	349	13	136	246	101	221	70	197	80	10	10	10	230
"AFFX-CreX-3_st"	10	10	287	10	41	136	10	10	10	87	1156	487	192	684	327	176	540	491	2181	356	10	10	10	876	10	10	630	10	10	10	328	88	211	17	31	243	487	183	448	379	125	224	76	69	243	104	78	601	294
"AFFX-DapX-M_at"	44	69	10	15	10	10	10	58	10	10	544	1615	10	10	10	10	84	40	942	10	308	10	10	10	45	10	10	10	10	51	10	10	68	10	10	10	10	10	10	10	10	10	10	10	10	10	10	12	10
"AFFX-HUMGAPDH/M33197_5_st"	10	10	101	10	23	119	213	10	10	10	651	132	140	217	10	56	10	10	266	59	79	10	10	10	10	10	54	10	10	10	10	10	10	64	94	57	354	10	10	114	94	142	107	23	10	10	76	65	144
"AFFX-HUMRGE/M10098_3_at"	941	359	1073	10	3122	10	10	708	10	10	3473	6222	10	260	10	10	228	10	10	10	128	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"AFFX-HUMRGE/M10098_5_at"	254	10	10	10	600	10	10	570	75	10	1074	3154	10	10	36	10	430	10	10	10	10	10	10	10	10	10	10	24	10	409	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"AFFX-HUMRGE/M10098_M_at"	426	18	52	10	1828	10	10	172	14	10	1301	3743	10	56	91	28	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"AFFX-LysX-3_at"	10	10	57	10	10	10	10	10	35	10	665	255	41	10	10	82	10	68	10	39	66	10	10	148	19	90	10	34	50	582	27	121	37	25	31	167	28	61	10	10	59	28	79	185	45	102	137	44	10
"AFFX-M27830_5_at"	2307	564	1346	795	4966	160	10	421	149	10	1534	3703	107	210	53	159	254	10	48	25	428	10	62	90	10	10	10	72	27	10	10	10	72	10	10	10	59	10	115	10	25	10	10	10	10	10	10	10	14
"D00408_s_at"	176	110	223	290	403	29	248	10	107	200	74	10	10	50	15	102	60	27	122	93	68	99	213	164	167	205	54	125	155	2184	10	11	79	101	10	59	69	16	10	99	279	61	18	10	10	86	87	10	10
"D00654_at"	239	10	45	10	72	4469	134	15	392	505	1283	4264	164	4697	427	2946	325	429	21	119	391	241	10	413	105	332	273	10	136	565	89	77	10	58	189	216	3903	90	10	10	30	10782	6217	5560	9994	47	352	52	93
"D10202_at"	181	74	32	290	10	18	94	212	104	10	10	10	186	61	138	61	10	10	10	163	194	36	10	10	191	10	10	28	334	81	10	10	10	10	176	10	10	132	10	10	10	10	10	11	192	76	10	10	105
"D11139_at"	10	38	10	10	30	10	32	41	10	89	990	987	10	103	126	26	119	10	341	10	56	49	113	108	150	90	10	33	10	986	10	59	13	10	10	17	189	69	10	10	10	22	60	49	10	10	10	12	10
"D12620_s_at"	10	10	10	10	10	10	128	62	196	124	701	327	93	10	179	131	75	165	10	10	17	10	10	106	110	10	10	10	86	10	68	190	206	210	31	26	10	33	10	41	10	10	23	168	238	10	10	10	151
"D13642_at"	466	165	325	10	459	421	135	505	20	10	10	10	39	210	265	93	10	134	10	129	10	10	131	10	220	10	237	42	54	10	188	10	80	288	96	10	50	177	225	241	189	53	194	304	10	10	199	78	30
"D13644_at"	10	31	31	10	218	86	10	92	84	45	10	10	10	146	10	45	118	105	10	129	256	134	39	97	10	18	11	65	10	62	10	10	76	73	186	129	250	78	69	118	95	124	214	68	65	76	115	215	160
"D13645_at"	68	28	116	10	92	82	292	75	10	10	10	122	400	74	452	996	65	108	432	64	10	10	366	356	10	533	293	248	71	10	43	81	10	10	171	191	412	22	31	50	10	270	256	42	48	10	122	137	120
"D13814_s_at"	232	2953	254	144	10	54	70	77	39	11	106	233	124	10	117	126	57	119	119	10	2400	10	83	10	14	115	41	10	93	419	10	32	898	59	62	162	58	733	25	67	52	54	48	86	10	40	113	182	60
"D13969_at"	184	169	151	10	10	174	117	142	44	18	10	10	20	10	184	10	233	178	10	201	313	10	10	10	384	10	10	10	12	10	87	57	319	50	10	63	10	240	284	115	202	114	10	234	96	442	10	210	1097
"D14520_at"	123	54	441	1267	147	677	82	144	142	185	10	10	137	696	338	339	214	183	174	10	247	191	247	10	91	10	1417	512	253	10	75	16	10	10	20	180	252	23	33	73	1807	143	232	208	590	10	316	1603	125
"D14533_at"	179	408	490	10	126	80	142	130	10	10	155	41	10	10	10	10	10	44	1270	61	96	10	104	10	10	10	10	64	10	10	165	10	29	55	269	38	10	50	420	128	10	10	10	10	34	10	10	10	16
"D14822_at"	77	10	23	10	10	10	78	34	40	10	486	1315	57	26	10	10	10	10	182	18	259	10	47	10	10	10	98	77	11	178	57	38	10	58	11	101	10	10	22	10	14	26	47	28	28	44	101	31	16
"D14827_at"	245	43	150	10	1015	207	10	139	115	166	10	10	10	174	86	411	10	174	1027	45	10	10	72	248	207	10	10	112	87	10	10	25	87	10	10	66	134	10	170	159	10	10	10	10	10	10	134	166	10
"D14838_at"	194	10	18	10	10	43	110	10	10	32	477	10	10	14	10	25	158	10	101	10	10	10	74	1612	10	10	10	199	10	10	10	10	10	10	10	10	10	10	10	10	749	10	10	105	10	10	123	42	10
"D15049_at"	61	10	10	10	10	27	10	10	10	10	10	10	91	203	10	10	374	10	10	10	10	10	10	10	10	33	22	10	54	769	143	10	10	117	11	10	277	40	37	160	40	43	101	112	250	10	10	10	195
"D16181_at"	10	77	33	179	184	10	154	56	72	10	10	10	10	51	101	98	375	10	85	110	10	127	130	113	28	101	10	10	185	213	90	43	50	62	138	23	10	10	123	29	272	38	25	78	52	10	21	10	10
"D16350_at"	43	10	213	10	10	69	10	48	86	10	165	10	172	10	144	53	130	135	476	76	10	10	239	134	10	10	63	177	77	1006	22	95	82	40	10	10	258	10	52	81	10	97	313	88	105	41	50	10	80
"D16480_at"	756	1142	268	10	10	454	575	995	448	525	10	10	1988	10	63	436	34	10	10	1479	549	10	499	10	128	1637	872	10	1264	10	10	182	674	655	280	10	711	10	773	1039	10	1272	182	891	1585	895	864	10	327
"D16532_at"	34	98	10	12	10	10	13	43	104	18	174	10	156	138	396	189	10	10	10	13	10	114	219	10	10	66	150	10	44	10	52	96	10	52	41	10	322	10	43	92	28	73	208	231	10	19	10	10	214
"D16583_at"	10	10	1376	344	10	10	10	10	10	154	10	10	10	10	10	10	10	10	80	10	10	10	10	348	10	10	10	10	10	10	10	10	11520	10	10	10	10	4481	10	10	10	10	10	10	10	10	10	10	10
"D17357_at"	10	82	294	10	148	149	128	104	32	127	10	10	102	126	10	104	132	333	341	100	31	10	12	259	111	161	10	136	71	219	104	65	56	10	10	38	30	41	10	10	10	24	10	14	92	33	57	38	19
"D17532_at"	118	59	201	292	147	32	22	10	10	10	10	10	10	120	48	95	39	22	100	10	81	10	10	10	67	10	88	38	101	690	10	132	10	10	118	10	134	71	44	73	228	10	65	10	54	19	10	145	21
"D17547_at"	108	11	10	10	10	84	60	30	113	10	10	10	107	10	370	29	78	10	548	49	10	10	80	290	86	29	10	131	139	169	89	137	74	135	10	49	137	92	91	58	47	94	47	93	124	16	72	35	19
"D21163_at"	13	60	10	115	143	10	10	10	10	10	10	813	39	375	602	40	82	388	407	92	162	114	48	10	10	55	17	133	10	10	100	202	103	195	404	10	212	346	178	99	193	176	272	10	37	10	278	227	10
"D21239_at"	70	10	10	10	64	220	10	10	10	10	10	10	21	103	10	10	112	84	2137	10	240	79	10	10	299	10	245	10	315	10	10	140	10	10	138	10	198	30	10	10	10	10	10	10	57	26	10	10	69
"D21267_at"	29	879	87	25	10	124	10	10	10	10	397	576	10	10	10	10	98	18	10	27	10	16	10	10	41	10	10	16	10	52	147	53	124	10	20	200	177	22	125	10	10	28	12	10	10	10	131	210	92
"D21337_at"	98	112	80	10	41	13	10	17	56	10	10	1498	10	111	56	10	10	10	10	10	10	107	114	26	163	10	87	58	25	10	205	133	157	70	34	220	43	81	10	111	99	104	50	10	10	10	119	109	90
"D25304_at"	725	10	74	10	186	407	166	10	10	364	453	10	10	103	210	76	10	10	463	117	153	285	10	10	268	10	10	10	10	10	58	10	171	10	626	10	406	350	2388	10	10	10	329	14	83	10	10	10	10
"D25328_at"	81	45	15	108	10	1096	312	505	10	10	10	10	656	35	639	1077	10	10	10	236	10	10	1038	10	304	1062	464	353	420	384	527	10	10	41	10	586	628	10	162	10	21	1683	450	2782	91	1726	353	90	5646
"D26155_s_at"	118	176	10	33	10	29	99	47	174	125	270	10	110	10	43	299	97	224	214	29	278	44	92	10	10	56	137	97	10	147	10	10	25	47	52	122	165	52	88	262	74	81	58	10	10	101	10	10	156
"D26350_at"	910	131	153	10	10	71	235	74	136	127	10	10	23	10	184	48	136	59	10	10	319	10	21	10	10	206	649	12	124	10	10	531	744	10	10	81	169	915	10	154	10	10	132	10	73	10	297	5267	208
"D28791_at"	10	10	10	10	10	171	22	44	10	79	221	552	30	225	35	33	17	168	247	10	10	63	28	10	19	18	10	10	41	10	69	95	57	52	47	192	677	22	51	109	348	10	198	168	162	124	47	10	288
"D29642_at"	43	159	10	181	10	155	381	88	58	19	10	66	10	167	119	122	10	149	1564	143	10	81	52	162	10	10	131	94	158	10	10	100	132	22	10	10	10	10	10	10	10	25	10	10	330	225	192	107	10
"D29675_at"	10	10	10	10	10	10	136	10	46	147	1662	2076	10	337	10	41	466	113	373	10	10	35	133	242	150	253	221	10	10	2397	10	10	10	10	10	10	166	10	10	10	10	10	10	10	10	10	85	10	10
"D29833_at"	10	10	10	10	10	10	59	10	10	10	377	10	10	79	1857	10	10	30	571	21	10	38	35	79	50	10	34	10	15	10	10	93	10	10	235	10	62	27	10	36	10	10	97	20	10	10	40	87	44
"D30742_at"	232	118	290	352	469	190	15	227	286	123	781	1183	157	109	10	153	142	10	389	10	473	286	288	538	377	10	10	149	193	10	193	103	268	193	10	10	10	268	10	14	82	10	79	112	28	107	244	323	235
"D31764_at"	438	370	1023	389	1145	10	776	1028	10	10	10	10	519	781	1276	760	858	556	10	249	223	10	10	10	964	80	734	10	499	10	21	270	920	710	10	10	796	640	741	335	35	374	369	496	852	823	424	10	264
"D31784_at"	60	127	184	157	279	105	462	83	133	83	337	10	115	10	10	60	10	161	10	78	10	10	33	25	111	10	26	171	10	10	65	10	31	83	101	165	102	35	98	10	10	16	57	36	10	10	10	147	32
"D31815_at"	10	161	10	64	10	10	10	78	24	89	603	1779	19	116	449	79	89	10	30	36	78	10	176	10	57	97	208	10	257	138	10	10	49	10	10	322	250	170	10	51	43	10	10	26	89	88	10	10	10
"D31886_at"	179	119	10	10	55	37	105	181	32	102	10	10	321	239	10	10	10	10	10	92	10	10	10	10	10	10	222	16	74	10	14	119	10	300	10	82	169	87	84	76	10	204	290	89	61	125	267	81	176
"D38037_at"	126	358	398	10	10	233	10	10	46	79	1718	4610	10	10	10	10	24	10	10	10	267	10	10	10	123	10	10	10	10	10	104	10	10	10	33	222	262	86	10	10	665	10	62	78	10	10	10	10	10
"D38502_at"	10	10	10	10	10	10	181	34	118	10	571	433	10	10	10	130	16	145	81	10	174	10	144	10	10	10	10	10	316	325	10	10	234	59	42	10	10	10	10	10	10	17	10	65	314	10	10	136	75
"D38751_at"	156	10	10	10	10	10	10	10	10	10	485	138	10	10	10	10	10	10	10	323	10	10	10	10	134	10	10	10	88	1648	10	10	349	10	10	10	10	10	10	10	10	10	10	11	10	492	10	10	10
"D42039_at"	93	10	10	216	471	10	10	10	10	20	10	10	60	92	389	10	46	10	10	10	10	10	10	189	82	10	357	113	44	1401	10	112	156	10	10	10	10	79	10	10	10	10	10	184	128	34	10	10	10
"D42045_at"	10	83	139	132	40	107	12	104	10	10	150	334	173	10	153	10	10	10	10	71	10	10	10	69	113	10	10	10	10	188	129	97	10	148	31	15	10	97	114	147	23	47	143	11	10	88	10	144	125
"D43947_at"	346	857	1680	10	10	131	181	1219	509	10	10	10	19	161	420	132	250	10	1144	482	531	10	663	10	381	204	232	10	583	10	164	38	1167	589	205	548	10	661	577	579	602	435	785	794	348	1279	145	141	1172
"D45399_at"	42	149	57	21	128	108	136	24	10	23	309	10	10	42	10	22	10	167	923	22	251	18	31	10	94	10	89	61	65	22	18	65	60	47	10	71	64	10	107	10	10	10	61	10	45	10	146	152	10
"D49357_at"	91	76	10	10	10	10	10	162	10	10	10	10	60	267	313	122	146	10	589	10	10	10	506	10	85	437	321	10	355	10	10	10	10	10	10	10	10	181	18	457	94	72	237	10	10	10	10	10	139
"D49817_at"	10	61	489	10	10	10	919	545	172	397	10	10	10	106	33	713	191	232	10	10	10	300	638	486	260	931	71	564	10	10	10	202	86	435	807	10	192	562	10	302	184	441	10	126	138	587	10	241	312
"D49818_at"	10	12	10	10	10	10	151	117	293	643	10	10	149	331	609	10	10	10	10	10	10	212	115	330	929	10	804	115	246	10	10	10	106	87	174	10	174	274	439	226	10	167	313	421	130	127	10	196	858
"D50477_s_at"	18	100	10	10	10	10	10	61	18	10	463	1024	78	10	187	10	10	10	1056	10	216	10	10	42	10	10	119	10	10	10	10	10	10	10	10	10	107	42	10	10	147	10	10	11	10	10	276	10	221
"D50487_at"	340	305	119	29	10	149	108	271	104	27	141	10	64	164	102	26	10	10	10	116	384	10	77	10	14	262	10	10	69	10	10	193	146	119	17	225	10	393	271	10	41	10	326	139	10	10	49	57	36
"D50495_at"	446	696	10	10	10	10	10	996	980	489	2612	937	10	352	708	10	321	64	10	934	759	284	10	10	10	10	189	10	10	10	309	1595	1026	452	601	463	402	607	1124	627	284	310	677	886	167	102	154	10	736
"D50532_at"	145	220	180	511	143	688	542	78	325	10	10	10	10	10	10	658	10	207	10	42	373	435	10	93	631	207	10	236	107	10	10	10	10	235	15	10	41	175	303	17	129	172	28	33	381	53	10	10	38
"D50550_at"	10	10	10	10	10	10	10	10	10	10	10	10	193	10	10	600	10	10	99	10	10	144	10	10	10	546	76	10	10	924	10	128	10	10	277	10	103	46	152	198	10	147	10	146	543	10	10	366	89
"D50582_at"	178	10	141	77	10	194	158	73	34	10	10	2474	106	10	10	163	10	10	10	196	13	10	34	454	10	180	132	104	175	507	10	80	116	10	10	29	52	10	66	10	10	138	10	217	67	191	10	10	10
"D50645_at"	273	491	311	10	10	81	10	416	16	172	10	137	47	72	449	34	117	25	837	298	350	10	297	10	259	10	160	10	192	10	10	48	540	523	10	10	10	286	496	10	162	94	105	439	95	1048	10	10	1002
"D50810_at"	366	94	10	246	488	257	10	77	116	131	21	10	15	224	162	10	10	10	659	10	111	158	73	10	10	10	16	31	10	10	10	10	12	25	50	34	14	10	102	193	10	10	43	156	112	59	10	10	122
"D50915_at"	21	10	10	300	303	702	426	81	10	10	10	1123	118	277	10	348	120	10	1103	10	10	124	57	182	10	31	69	157	36	10	70	129	10	10	10	16	267	18	42	10	10	67	71	115	201	147	160	153	121
"D50919_at"	104	231	117	32	10	387	139	105	10	71	200	10	341	212	73	221	10	10	10	267	169	10	10	10	10	22	403	69	69	15	104	56	265	75	10	212	85	124	183	199	13	200	296	74	144	428	653	181	58
"D50923_at"	12	37	76	10	10	10	10	24	10	10	10	10	62	217	280	243	10	10	10	157	10	100	261	318	10	237	10	221	10	10	11	10	41	10	10	84	156	75	157	13	10	294	302	149	147	10	275	109	158
"D50931_at"	133	143	10	70	10	90	10	414	98	27	1244	1987	10	10	10	10	10	10	289	10	10	10	10	10	10	10	10	10	10	2992	79	263	10	10	10	113	10	10	203	10	190	10	61	10	10	228	75	21	10
"D55643_s_at"	12	88	164	129	10	53	115	86	10	39	677	736	10	83	76	65	135	10	309	66	10	43	141	10	134	10	10	100	10	277	120	10	28	25	10	176	190	10	52	12	31	24	10	96	10	14	12	279	77
"D63390_at"	60	94	165	30	252	10	10	95	10	208	149	534	34	145	10	98	326	178	10	10	94	89	10	10	62	23	10	46	37	104	179	38	10	56	72	10	131	51	10	10	10	27	10	10	10	12	10	20	102
"D63412_at"	73	60	176	50	196	38	232	90	124	31	236	1645	10	10	143	10	227	61	691	45	305	29	10	90	10	222	72	35	91	10	91	82	17	10	57	83	20	10	63	20	10	30	34	35	10	12	24	67	197
"D63482_at"	16	10	10	43	287	10	120	27	85	123	470	3652	89	10	10	83	76	10	10	10	498	38	43	10	10	82	372	10	179	1205	43	10	10	54	10	10	10	86	45	10	10	10	28	193	48	10	48	116	10
"D63940_s_at"	13	10	22	39	10	172	10	84	147	10	91	404	71	10	418	36	10	331	609	10	10	10	115	43	28	72	229	41	10	133	80	10	10	28	112	10	80	34	23	21	47	159	39	98	24	10	32	158	243
"D76435_at"	10	76	109	10	237	703	65	123	10	16	10	10	170	498	178	515	10	74	10	10	31	18	151	439	54	87	214	243	10	14	61	632	90	581	63	10	186	10	10	10	551	730	1094	867	79	10	433	252	121
"D78156_at"	54	82	143	10	10	297	69	10	109	10	10	10	125	68	10	22	61	58	10	404	11	88	13	10	10	76	69	212	101	10	145	138	10	75	71	140	60	20	22	77	79	182	200	86	77	14	96	229	396
"D78335_at"	225	233	392	12	374	281	143	207	10	331	10	10	580	698	180	794	56	10	1306	164	10	10	1187	23	306	685	402	365	135	10	95	255	324	318	10	72	563	233	10	10	10	647	440	385	402	244	141	199	175
"D79985_at"	291	464	876	505	10	281	10	10	232	65	10	1379	517	862	498	10	192	842	10	894	684	439	10	294	10	14	451	417	10	10	758	796	467	1030	174	284	10	462	775	267	1007	10	986	905	763	470	10	142	463
"D79987_at"	186	10	103	10	10	10	73	19	10	10	10	10	50	51	10	61	109	10	10	91	10	117	10	10	587	17	10	10	338	10	10	10	244	200	26	10	10	10	10	10	10	75	381	365	10	332	10	300	156
"D79998_at"	10	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	222	209	10	10	10	10	10	10	10	10	10	10	77	130	183	178	218	121	86	10	202	627	189	10	141	159	373	10	105	11	31	328	10
"D82326_at"	56	65	166	10	195	154	35	72	141	72	688	58	44	46	56	24	215	44	10	95	483	131	138	102	289	189	102	19	67	10	15	132	10	59	10	10	94	10	33	10	10	38	127	10	10	84	15	10	10
"D82343_at"	207	400	120	10	10	159	10	277	131	57	10	10	395	10	10	164	10	20	195	10	10	199	10	10	40	10	277	10	483	10	10	22	208	111	10	154	10	151	351	384	35	10	20	10	17	10	161	10	55
"D82346_at"	10	10	57	10	298	10	10	83	14	110	278	939	106	251	296	254	10	378	10	10	472	10	10	202	356	99	72	139	132	763	10	10	10	26	10	10	10	10	32	118	33	10	25	10	10	10	81	16	90
"D83017_s_at"	70	19	77	10	10	10	10	10	35	92	156	1215	28	10	10	10	69	140	260	24	187	74	71	24	10	24	10	10	21	10	95	10	336	10	79	66	37	211	63	97	68	318	25	58	10	10	40	10	10
"D83699_at"	183	74	216	114	530	272	117	44	61	56	153	10	10	13	10	269	10	10	10	10	173	276	153	10	67	135	136	103	10	434	10	10	20	10	77	10	257	49	10	70	147	10	10	113	77	54	83	10	10
"D83784_at"	155	287	52	10	184	310	10	262	10	140	10	10	48	208	262	210	292	600	1099	369	195	10	454	685	330	306	411	310	291	143	10	50	112	189	10	10	10	10	10	286	144	103	39	34	70	292	10	10	326
"D84276_at"	10	10	10	97	62	295	222	10	10	10	551	748	10	170	10	233	28	47	10	10	10	10	87	140	10	10	106	68	88	53	95	10	19	10	10	10	60	10	10	20	10	105	10	10	114	10	132	189	10
"D84361_at"	175	215	136	10	220	380	10	361	10	10	10	10	161	10	58	10	28	10	10	10	553	10	10	369	199	10	119	10	10	1220	120	10	10	270	10	10	10	10	276	432	259	10	286	97	10	10	18	10	508
"D84424_at"	10	10	211	162	222	235	72	10	151	143	425	10	10	10	189	177	10	329	151	10	221	85	10	92	10	10	10	10	33	10	10	10	122	27	10	10	10	13	41	47	54	35	100	165	27	10	29	86	41
"D85131_s_at"	114	11	10	11	10	10	20	458	72	285	396	10	254	10	14	10	172	110	10	401	10	10	95	10	931	522	461	98	682	10	10	10	651	205	168	39	150	488	70	528	10	723	274	215	824	455	432	491	625
"D85425_s_at"	10	10	10	10	10	10	10	10	85	49	10	10	219	115	157	81	114	43	10	10	10	28	215	248	10	10	320	37	101	10	149	125	201	10	10	84	10	84	146	134	55	199	17	191	264	33	125	10	10
"D85939_at"	10	10	10	10	10	10	10	185	10	10	10	870	10	10	10	10	327	10	719	10	10	10	10	250	10	10	10	10	10	1391	10	10	10	10	10	10	10	10	10	10	10	10	630	10	56	101	51	10	10
"D86043_s_at"	1009	871	1009	1402	873	986	430	457	10	10	4088	5406	412	10	10	510	10	10	445	10	555	10	10	10	10	10	10	10	10	10	10	226	10	100	167	441	1328	295	10	167	242	379	43	135	10	10	341	10	138
"D86096_cds1_s_at"	132	107	121	10	558	72	66	59	10	22	371	10	10	26	19	10	10	10	10	156	336	14	10	10	147	10	10	10	19	654	113	10	14	64	72	185	45	144	170	129	46	51	28	10	113	27	25	192	23
