	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"31314_at"	139.5	41	10	118	233	77	93	158	73	319	179	10	67	502	10	74	171	63	214	259	10	10	10	58	290	202	200	10	10	10	10	384	240	402	10	49	176	10	167	183	10	10	113	149	10	54	164	10	10	10	10	70	10	10	10	10	149	10	10	10	287	10	210	10	10	10	90	12	33	10	64	10
"31315_at"	31.6	4602	498	10	38	1038	10	591	43	10	10	94	5787	866	10	10	10	10	10	1397	10	1659	1346	10	10	10	247	10	10	92	10	10	10	264	10	10	649	10	10	567	10	10	2315	10	2596	10	10	587	10	10	280	10	885	10	10	3977	997	651	168	10	1240	10	611	2825	10	3303	669	101	1736	310	2528	150
"31319_at"	10	10	10	10	39	54	10	27	20	28	10	13	310	10	26	10	64	10	10	396	10	94	10	10	10	10	10	136	10	123	10	10	10	10	122	10	27	10	93	36	107	10	220	10	358	149	129	351	92	46	283	13	129	10	112	549	325	289	10	10	10	245	233	186	297	927	605	39	10	10	766	10
"31341_at"	10	192	10	10	10	69	10	10	10	1050	10	10	29	607	10	10	10	10	192	10	10	10	272	67	10	74	10	10	10	10	10	42	152	10	44	10	10	10	10	10	924	275	10	172	10	10	10	10	10	10	10	10	10	10	10	10	551	174	10	10	10	33	10	10	10	10	282	17	533	10	248	10
"31350_at"	267.1	56	151	10	272	315	10	10	88	168	697	13	1043	47	10	10	10	272	10	818	108	10	228	10	253	10	10	127	10	427	412	360	40	1124	71	743	256	10	726	547	132	10	974	399	10	119	219	10	10	67	10	10	10	1297	768	45	318	110	1445	1107	49	10	252	331	10	999	10	1295	441	878	127	1011
"31362_at"	23.1	16	10	10	10	10	10	10	128	10	10	63	268	30	77	10	10	69	10	10	156	10	10	10	10	10	10	10	249	63	10	10	10	10	47	195	450	107	419	10	10	490	10	10	10	10	302	10	292	44	10	10	57	311	515	10	491	40	10	345	900	75	95	536	540	10	10	10	70	10	168	399
"31363_at"	10	10	10	10	10	70	81	52	373	237	157	10	10	516	10	122	10	43	155	10	10	10	143	10	132	10	10	10	10	10	101	10	176	226	36	422	244	14	189	10	10	32	226	52	226	10	10	170	145	38	52	296	81	376	369	137	10	10	159	10	28	34	45	10	52	322	43	148	10	86	177	187
"31375_at"	229.3	79	10	10	207	10	111	541	10	196	161	314	432	16	133	10	615	219	10	646	647	10	10	10	10	10	10	10	146	10	59	10	10	10	10	419	325	265	631	63	42	270	52	634	823	667	684	466	10	575	863	87	301	715	383	765	852	468	948	1038	958	621	2077	1314	469	1113	1649	1751	836	10	773	769
"31377_r_at"	10	273	251	10	10	240	10	10	14	558	42	240	356	10	10	155	10	202	22	10	10	16	10	10	111	102	248	192	135	111	10	10	10	328	61	150	401	10	313	467	10	33	10	109	373	264	607	363	255	557	339	10	271	354	789	307	10	10	239	10	799	290	10	568	371	10	487	111	10	275	448	827
"31380_at"	62.1	255	10	235	10	203	105	1535	136	184	58	429	410	70	68	38	175	105	266	52	525	10	123	37	10	55	108	10	10	10	10	60	214	10	323	22	10	208	10	10	10	265	132	10	456	307	270	10	106	10	10	105	141	10	86	69	268	69	978	452	594	66	137	693	120	764	10	637	80	10	10	10
"31387_at"	211.4	10	132	10	500	316	87	112	10	10	10	10	80	10	10	10	10	10	10	279	10	10	10	10	10	391	118	10	10	10	34	10	50	10	149	10	10	10	102	215	10	10	419	10	95	154	275	423	10	10	10	10	10	10	80	934	115	10	10	10	10	10	10	10	62	10	495	10	575	10	290	10
"31404_at"	10	10	10	170	10	10	10	665	319	421	361	10	10	768	10	396	10	258	228	296	10	435	407	10	492	400	714	416	31	10	607	278	397	305	10	279	10	656	10	710	804	419	353	10	1019	10	10	10	10	10	10	171	422	10	495	459	10	10	10	10	10	10	10	10	426	10	714	1105	576	10	10	297
"31408_at"	174.4	154	10	10	242	208	108	430	168	228	236	10	10	220	10	92	34	182	179	165	65	198	266	135	62	79	10	10	162	10	10	229	101	658	176	10	10	18	136	321	375	10	302	10	446	249	459	10	10	182	10	225	173	564	115	133	273	395	10	447	10	10	308	10	57	320	209	292	235	430	342	193
"31414_at"	58.5	239	10	84	10	430	10	255	69	56	10	10	10	556	373	426	1017	349	10	10	154	10	10	170	10	206	214	65	465	79	127	234	187	10	192	137	181	13	10	10	10	10	10	430	248	10	127	91	90	371	10	78	51	178	659	677	10	10	10	10	10	10	10	478	10	587	10	10	199	10	557	10
"31416_at"	197.8	153	48	10	10	142	148	233	10	10	10	57	332	104	10	10	10	108	106	10	266	328	125	10	183	219	274	10	10	10	10	155	14	365	103	244	74	10	273	102	19	10	279	286	460	21	427	10	10	10	10	10	209	382	392	10	383	209	10	306	10	10	10	10	88	361	10	293	297	10	490	88
"31419_r_at"	83.6	10	1057	10	10	10	360	680	10	10	197	10	405	10	1327	924	10	10	10	10	519	10	10	10	10	10	10	10	10	10	807	371	1636	10	891	10	587	10	337	726	104	10	10	10	10	10	66	10	174	72	10	2658	744	10	10	25	10	1588	521	262	1979	1147	10	10	10	923	1270	1458	823	10	10	10
"31423_at"	131.5	92	384	248	10	10	129	131	10	10	10	121	10	10	467	109	190	10	49	145	218	118	56	10	203	270	111	223	35	170	10	49	224	146	10	206	301	10	10	122	10	10	10	215	10	10	10	10	191	154	10	227	53	10	10	10	139	10	783	10	10	278	10	215	68	10	141	182	10	10	10	62
"31427_at"	891.6	1580	264	10	122	1654	1749	323	376	30	991	165	401	1664	468	399	69	380	454	486	131	860	1005	156	19	103	145	144	10	125	225	151	36	464	66	454	10	56	10	32	144	90	94	46	59	10	10	10	65	14	802	60	10	53	10	143	27	10	42	162	85	62	10	743	67	128	50	53	717	10	10	115
"31431_at"	5470.5	5828	449	44	4012	4297	4352	1274	10	555	1693	13	1751	10	661	10	1350	82	851	2458	398	496	4163	1559	389	3453	158	222	10	135	2897	575	12	581	139	495	251	10	92	541	8989	330	2462	122	937	5417	1699	2876	10	401	2959	216	112	10	1096	2557	4901	1711	516	10	1696	387	472	3153	4661	2099	536	883	9058	1071	1707	1587
"31433_at"	22.2	10	42	10	10	24	10	10	10	10	10	10	48	10	10	10	10	10	10	10	10	10	10	19	10	57	258	10	10	14	130	235	10	10	67	10	288	10	75	199	10	10	10	10	10	10	132	108	31	71	179	10	52	243	150	70	10	151	316	396	253	130	642	358	34	293	10	10	10	168	15	333
"31436_s_at"	10	10	223	10	225	10	41	107	119	10	10	14	220	236	380	69	10	290	116	235	12	10	12	10	10	41	427	10	10	10	10	308	257	42	10	643	10	10	427	105	141	48	489	701	187	437	160	10	821	10	10	10	121	10	10	31	30	311	158	10	19	34	102	10	10	123	191	400	64	375	10	83
"31441_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	613	90	10	10	377	732	327	10	818	751	10	682	10	363	71	534	10	10	329	72	1252	2666	211	10	10	1251	170	4051	160	10	602	10	251	10	810	546	119	10	1337	1061	10	10	10	337	758	2485	10
"31446_s_at"	218.5	289	10	10	10	512	136	10	10	10	10	20	81	83	10	10	10	10	81	221	242	186	264	10	75	10	147	10	10	10	10	87	27	166	171	10	10	10	103	229	370	10	10	291	10	184	280	10	10	10	10	89	195	10	10	41	144	39	10	163	10	114	203	79	69	48	314	45	178	10	186	10
"31448_s_at"	593.6	309	115	35	618	147	387	185	10	66	385	10	186	10	60	10	10	35	10	75	194	10	579	10	10	10	179	21	10	10	28	10	26	10	40	10	62	10	266	10	1929	10	107	55	16	410	10	33	10	10	26	10	10	10	94	10	10	137	10	169	10	10	199	442	146	10	10	10	49	10	412	10
"31454_f_at"	62.6	156	120	10	10	10	48	10	10	222	162	10	144	10	10	10	37	45	10	135	38	229	10	161	116	10	10	10	10	35	138	108	85	108	10	247	38	32	148	127	152	10	10	72	364	10	10	45	10	73	155	43	52	174	85	257	54	149	10	284	10	10	225	280	141	477	312	225	10	309	69	92
"31457_at"	496.4	10	479	270	10	10	531	378	113	10	136	13	10	521	75	105	10	160	298	10	10	1337	275	10	527	374	258	351	171	192	50	41	670	249	10	365	325	58	10	1104	212	10	10	10	10	123	10	10	10	10	93	10	254	412	213	10	10	10	10	10	405	10	219	10	331	10	188	235	57	155	111	10
"31468_f_at"	73.9	120	267	50	40	10	10	306	10	10	10	348	10	10	10	57	275	10	52	18	187	10	96	21	268	58	223	134	173	60	10	10	10	10	85	10	311	86	299	365	10	10	10	173	99	10	10	10	10	83	10	143	399	625	542	10	212	10	10	92	411	294	251	10	356	127	58	340	202	10	181	94
"31491_s_at"	14.2	34	332	10	60	91	113	10	10	101	10	50	81	46	58	23	10	111	10	10	136	144	136	10	39	10	140	153	10	132	121	21	10	10	105	10	198	84	169	98	426	10	58	10	1004	338	959	368	442	815	175	10	268	209	10	318	523	566	400	839	460	1342	1238	770	190	211	1027	984	133	10	10	365
"31495_at"	10	76	75	10	143	71	80	76	10	98	10	182	477	10	10	41	10	10	78	10	149	272	10	135	10	10	150	77	10	28	424	10	10	10	10	10	10	267	29	10	97	10	83	10	10	103	3156	10	374	50	10	52	10	41	10	2818	10	10	10	10	10	14	10	10	10	10	10	326	10	10	57	10
"31496_g_at"	10	54	10	141	10	10	10	324	23	308	97	40	318	10	10	247	171	10	276	10	10	834	10	68	10	29	140	172	149	68	103	58	183	10	263	188	10	349	10	10	10	251	142	10	154	36	8927	243	182	131	207	10	100	10	65	10	47	112	130	10	10	10	276	509	17	633	10	22	152	10	134	10
"31499_s_at"	10	76	10	10	10	10	10	67	95	10	10	10	2034	10	191	10	10	10	10	10	202	761	194	26	43	10	10	326	10	10	335	44	126	248	83	979	178	59	48	222	74	114	1822	10	10	216	1710	75	581	10	10	10	10	10	10	79	93	10	431	10	10	10	243	25	508	114	10	10	306	10	10	10
"31502_at"	20.7	400	10	10	63	196	161	369	373	65	631	495	155	22	10	278	265	75	355	10	10	222	75	194	191	45	10	10	360	10	10	315	435	210	10	429	283	505	10	436	10	169	226	782	532	534	106	502	10	10	445	1302	471	531	10	10	10	103	10	10	10	61	10	10	443	10	10	10	175	674	521	10
"31512_at"	12.2	212	54	10	10	257	193	10	10	10	10	59	10	318	74	99	10	242	10	821	10	403	10	10	61	67	185	179	10	10	10	10	111	10	10	13	328	30	10	277	300	319	655	10	10	10	10	10	214	10	10	57	40	10	10	332	163	497	10	10	432	10	287	10	10	297	506	367	169	347	512	2734
"31530_at"	10	77	10	10	10	10	10	10	39	10	10	10	10	495	10	10	409	81	10	10	236	321	10	70	149	10	10	247	182	10	10	31	17	10	10	10	10	210	10	210	10	224	10	10	304	211	10	10	10	10	10	10	88	10	612	413	200	10	10	87	10	10	10	10	10	213	10	10	10	10	10	10
"31548_at"	313.1	10	10	161	10	10	10	10	10	313	545	259	273	694	10	342	564	173	295	492	10	402	136	71	72	10	336	272	92	242	350	218	136	10	10	177	10	238	10	10	1171	451	412	10	10	10	741	10	149	10	10	10	680	10	10	541	1076	10	10	10	211	169	10	1171	349	666	10	530	506	542	10	10
"31552_at"	143.9	30	85	10	203	47	194	55	13	184	10	189	220	266	10	10	10	10	114	143	10	274	310	99	68	68	188	111	163	10	134	10	77	41	71	76	10	66	238	231	301	10	77	164	370	231	219	125	10	95	105	47	178	366	422	10	407	316	10	477	10	10	293	621	10	409	489	223	30	39	10	10
"31555_at"	10	10	10	10	10	10	356	10	10	10	832	10	10	10	10	10	10	10	10	10	10	733	422	10	10	287	10	10	10	10	10	615	10	507	10	10	1191	172	638	1208	1969	10	10	544	10	10	10	10	10	596	10	203	10	1860	539	10	57	2082	10	2194	10	10	2517	2422	740	10	1013	10	1479	2313	342	10
"31562_at"	10	10	634	10	1484	221	214	501	236	249	480	10	304	548	10	378	10	209	382	777	10	429	789	10	10	10	903	10	10	10	10	339	834	10	10	143	10	326	17	822	10	10	10	10	35	1054	10	10	86	10	10	347	10	1368	1906	602	692	10	10	1764	1463	10	1581	10	33	10	808	88	137	1420	97	894
"31564_at"	10	10	10	10	12	599	82	712	548	983	81	706	799	484	10	191	569	10	10	171	668	77	532	275	343	10	10	10	236	108	10	10	101	584	519	645	10	417	10	10	10	10	763	10	1303	27	11	810	1034	10	125	212	736	10	742	1944	92	95	1032	10	10	514	10	263	450	1071	59	123	794	919	1626	937
"31566_at"	144.1	219	10	196	93	125	148	371	338	93	50	36	10	457	111	174	14	76	480	34	213	263	33	53	14	10	10	287	224	10	21	221	184	448	10	329	10	262	10	287	425	10	10	370	10	261	260	138	59	143	556	220	58	10	514	291	10	404	425	108	1153	10	1031	420	433	366	237	154	307	117	10	199
"31570_at"	121.2	106	94	123	83	163	174	44	104	216	72	10	244	77	10	174	43	88	141	141	60	188	201	56	10	20	359	213	66	112	121	50	154	242	101	138	207	10	10	51	22	70	75	119	380	29	151	10	48	62	10	56	99	241	10	10	10	10	10	51	10	10	10	10	33	228	117	10	10	77	184	10
"31575_f_at"	10	10	10	109	10	10	10	10	10	10	10	95	49	10	10	10	10	216	60	14	10	10	10	20	1395	572	1498	1186	1223	500	404	1737	1168	3179	2770	684	1419	687	1215	1482	1829	1775	792	2792	402	570	2093	134	39	1034	2603	2975	365	517	10	474	338	919	30	931	377	675	1274	2103	5944	1199	1095	74	1111	667	1015	44
"31576_at"	10	10	36	10	103	10	10	26	10	34	10	10	10	10	10	10	10	10	10	282	10	10	10	10	10	50	10	10	10	10	108	10	10	10	146	767	10	65	10	10	10	10	10	10	101	10	10	10	10	10	198	287	28	10	801	10	10	302	10	104	1431	10	554	396	10	10	10	10	10	10	846	554
"31598_s_at"	93	119	10	19	190	10	91	135	10	146	169	38	70	252	10	10	10	10	112	10	10	56	144	78	51	10	89	10	10	25	10	10	10	10	10	75	110	29	10	10	683	11	208	163	10	122	40	10	10	10	263	349	10	10	10	120	10	157	10	333	10	10	148	10	10	170	119	10	54	10	12	10
"31599_f_at"	147.4	160	10	10	10	10	26	62	28	10	55	28	10	140	10	10	10	10	10	246	95	177	47	12	131	10	125	31	10	50	10	141	143	185	46	10	10	57	178	193	307	10	73	132	261	31	198	10	10	10	39	10	238	10	94	21	273	107	46	326	10	10	489	10	215	427	227	152	313	325	313	178
"31610_at"	10	526	66	10	203	306	62	534	10	125	10	55	771	10	10	10	403	10	23	10	561	156	292	169	90	252	338	10	83	10	10	10	10	359	295	111	10	10	387	10	10	10	12	10	10	10	390	10	10	10	23	10	975	333	131	275	389	177	1158	159	57	488	10	10	185	808	461	1850	10	10	271	10
"31613_at"	100.9	56	55	10	15	10	10	190	117	10	64	10	70	276	10	90	96	17	134	131	73	25	25	83	10	10	10	38	10	10	39	36	77	50	21	72	10	95	10	105	89	10	177	135	14	124	132	312	10	10	10	104	77	10	274	43	340	261	10	10	10	10	10	217	213	336	36	10	294	10	56	72
"31615_i_at"	10	51	286	10	10	20	10	144	67	123	269	53	48	169	10	10	352	12	78	235	74	138	10	54	34	119	136	10	10	82	72	109	10	10	269	132	10	10	1059	323	10	222	412	932	222	413	536	10	158	10	10	59	10	10	42	174	851	770	598	569	1458	72	602	1314	102	651	1460	465	222	68	98	497
"31616_r_at"	28	10	163	10	35	119	10	10	46	10	56	27	36	55	10	10	121	10	17	191	119	91	10	10	81	38	132	62	10	103	84	203	10	67	63	109	45	10	677	294	129	21	225	464	273	91	286	178	125	25	10	15	82	86	226	81	468	388	123	163	590	181	458	500	10	516	952	308	59	233	61	310
"31618_at"	131.7	10	10	17	207	51	64	63	57	124	17	33	123	10	51	10	79	25	12	159	23	23	105	10	31	53	63	103	10	74	87	10	29	10	50	10	10	58	182	105	10	141	10	10	131	10	115	34	124	230	10	70	119	10	10	129	206	105	50	151	104	205	141	266	92	73	148	85	117	147	320	10
"31620_at"	598.7	128	321	10	10	898	511	628	382	131	780	809	36	830	880	10	10	10	818	10	10	547	29	10	10	10	24	10	935	10	283	10	116	10	144	691	1260	700	871	918	1227	973	10	54	197	949	1405	908	859	872	62	986	28	839	10	1226	1145	1143	1594	2770	4297	437	3593	10	1492	1498	1153	1479	1289	2491	2031	1077
"31623_f_at"	10	80	10	125	10	10	10	10	10	10	10	10	10	10	770	2239	1234	570	10	10	2871	139	10	398	775	2141	10	10	2476	10	10	442	10	1155	395	10	1064	2561	10	294	10	840	10	10	10	10	10	576	10	10	2246	5246	331	10	2501	2108	10	10	10	10	10	1304	10	10	1434	938	13759	10	10	692	10	10
"31632_at"	98.3	164	91	10	88	143	76	105	10	20	51	10	76	88	10	10	146	145	112	70	10	17	95	37	91	87	136	10	10	20	10	116	124	10	120	10	28	10	42	64	282	44	50	131	183	10	204	10	13	116	141	188	123	198	10	118	24	10	41	223	10	146	539	10	10	102	106	279	105	10	10	105
"31645_at"	256.5	45	10	10	10	10	89	10	132	406	83	119	10	278	10	115	10	10	27	182	19	297	279	155	273	131	304	227	10	16	10	295	73	409	53	264	10	10	130	300	311	10	10	10	274	197	120	104	10	10	10	57	82	603	10	232	230	74	10	379	10	10	916	139	207	527	555	646	478	810	570	78
"31647_at"	86.2	118	10	10	226	10	15	103	154	34	59	44	64	10	10	10	10	10	48	157	65	10	10	82	83	72	291	10	10	10	10	10	10	10	10	203	10	10	402	190	112	1107	10	69	172	64	281	10	10	10	10	69	95	51	326	135	10	10	10	110	10	10	10	10	84	10	36	10	10	10	135	10
"31654_at"	10	10	59	10	38	171	110	24	95	77	78	43	139	220	10	10	10	10	115	46	10	212	315	15	27	85	42	10	10	10	100	13	10	242	24	258	10	10	10	10	168	35	100	90	335	251	104	17	100	231	113	10	105	531	281	10	258	10	339	10	10	10	10	10	75	221	270	42	58	370	223	10
"31659_at"	67.6	420	592	1109	466	10	10	10	10	10	10	58	10	130	10	337	507	615	10	10	316	430	487	238	415	390	666	720	505	635	410	317	40	10	10	10	415	211	1153	1426	718	417	227	10	304	405	10	1406	419	607	513	274	754	1340	667	1521	766	1111	513	1237	1001	391	603	387	480	915	157	754	746	144	613	10
"31667_r_at"	797.1	645	10	702	1387	1092	865	1072	15	1070	731	158	1277	1331	10	549	1033	10	1229	1228	10	789	10	10	10	10	505	572	582	32	710	10	48	550	408	10	122	889	10	945	10	10	1174	706	270	372	1115	1358	1580	1032	33	10	756	10	1577	10	1022	1318	427	10	832	110	10	1469	52	1496	1149	1249	1077	1211	10	881
"31682_s_at"	10	10	10	10	10	10	10	356	85	10	10	10	10	10	10	10	10	10	10	10	34	10	10	10	99	10	10	10	10	10	10	2317	375	12144	169	10	2651	165	10	355	1545	10	1186	10	158	454	10	344	10	10	5113	79	385	10	10	532	10	4897	409	74	4888	187	1288	11318	240	365	699	10	1023	58	816	10
"31684_at"	10	10	108	320	10	92	10	10	10	248	10	10	497	10	10	10	244	802	10	10	232	269	10	73	2279	92	693	807	2702	942	10	1880	402	6979	1332	703	2040	775	302	1189	1747	1570	2011	3493	10	613	380	229	172	484	1267	2726	65	410	10	163	10	972	41	353	233	368	10	1112	1051	185	295	51	562	100	10	10
"31686_at"	142	130	153	10	193	10	92	10	127	191	204	126	10	424	10	10	350	10	10	10	183	158	143	57	92	53	138	53	39	10	10	347	94	163	169	87	74	10	298	10	10	10	78	113	210	141	80	10	10	249	130	45	48	46	14	92	10	25	138	213	168	54	10	324	10	10	10	10	10	272	68	48
"31687_f_at"	579.3	16000	10528	12008	7783	14093	16000	10	4779	2150	16000	10	10	15971	16000	16000	5712	11248	10	7269	10	16000	761	6088	16000	12509	16000	16000	363	4301	16000	16000	9274	16000	3345	16000	6438	8342	8630	16000	1023	44	43	16000	10	16000	10	16000	12228	16000	9608	16000	10	9590	279	1086	7722	16000	10	16000	10	8304	16000	16000	4431	31	2127	10	266	6867	8580	16000
"31692_at"	138.4	296	40	284	292	78	477	583	61	222	338	380	2342	72	10	160	10	141	1256	310	11027	178	374	79	77	2210	212	10	10	146	698	4678	16000	16000	410	478	456	6462	220	11	766	375	2229	2473	367	577	18	100	10	120	1143	10	2718	904	10	3594	805	4702	56	152	145	271	10	69	10	89	103	461	773	3901	1577	4455
"31701_r_at"	58.1	33	765	10	10	589	10	10	388	10	10	10	191	10	75	372	366	392	10	10	124	32	10	509	137	348	191	97	269	621	10	372	512	10	1015	1128	27	24	10	10	10	10	10	10	385	10	77	229	455	503	10	347	1151	10	651	424	1066	671	410	1284	751	321	10	813	774	877	21	1087	570	1041	237	10
"31709_at"	97.8	10	151	226	10	10	144	10	10	10	279	454	247	10	10	297	50	11	10	10	267	10	10	10	10	10	10	133	528	131	480	10	10	506	10	10	10	1021	10	10	10	10	10	495	10	10	10	10	10	373	10	640	10	10	10	10	10	10	10	10	10	10	10	10	285	10	10	10	10	10	10	912
"31710_at"	307.3	222	10	10	271	210	386	279	533	154	344	408	1626	426	10	10	997	10	745	690	490	385	745	10	10	477	173	50	56	258	875	10	131	194	239	944	10	688	1533	252	173	1044	732	720	499	10	10	728	289	899	106	209	10	654	172	10	10	10	642	325	808	794	10	849	10	380	10	127	10	322	10	440
"31720_s_at"	16.6	68	74	10	10	10	50	49	10	10	49	10	10	36	10	10	10	10	80	181	79	16	103	10	39	10	51	10	36	59	10	34	10	10	10	10	88	69	10	10	1094	154	39	10	359	21	524	15	10	10	31	10	195	10	10	10	189	189	17	69	10	88	27	113	10	97	121	10	107	10	10	128
"31730_at"	132.7	80	99	10	41	10	11	26	10	113	139	13	10	115	10	10	10	154	121	16	60	87	210	122	50	10	44	10	10	10	120	49	10	143	10	10	10	94	61	96	159	10	87	116	396	32	71	10	10	10	110	10	10	409	127	178	260	143	10	283	10	10	302	10	57	131	99	233	90	189	138	210
"31731_at"	546.9	42	400	10	570	19	69	10	10	10	10	10	10	10	10	10	8593	10	10	2132	10	10	250	10	675	2195	1531	346	10	10	378	10	10	10	10	10	522	10	3694	508	10	10	10	10	916	10	71	10	10	10	932	10	10	10	196	10	1191	10	248	78	10	1222	10	898	10	10	228	54	10	35	10	10
