	"Brain_MD_12"	"Brain_MD_61"	"Brain_MD_15"	"Brain_MD_57"	"Brain_MD_33"	"Brain_MD_64"	"Brain_MD_17"	"Brain_MD_62"	"Brain_MD_63"	"Brain_MD_32"	"Brain_MGlio_1"	"Brain_MGlio_2"	"Brain_MGlio_3"	"Brain_MGlio_4"	"Brain_MGlio_5"	"Brain_MGlio_6"	"Brain_MGlio_7"	"Brain_MGlio_8"	"Brain_MGlio_9"	"Brain_MGlio_10"	"Brain_Rhab_1"	"Brain_Rhab_2"	"Brain_Rhab_3"	"Brain_Rhab_4"	"Brain_Rhab_5"	"Brain_Rhab_6"	"Brain_Rhab_7"	"Brain_Rhab_8"	"Brain_Rhab_9"	"Brain_Rhab_10"	"Brain_Ncer_1"	"Brain_Ncer_2"	"Brain_Ncer_3"	"Brain_Ncer_4"	"Brain_PNET_1"	"Brain_PNET_2"	"Brain_PNET_3"	"Brain_PNET_4"	"Brain_PNET_5"	"Brain_PNET_6"	"Brain_PNET_7"	"Brain_PNET_8"
"AFFX-HUMRGE/M10098_M_at"	218	12506	1649	3502	483	7912	194	10	385	10	10	956	486	53	406	10	186	283	10	1706	10	10	10	10	10	10	10	109	10	80	10	10	38	10	10	10	3885	482	10	2275	5496	294
"AFFX-HUMTFRR/M11507_M_at"	206	10	156	11	10	103	141	141	58	56	24	10	10	10	10	105	58	10	10	10	2879	526	14	2508	969	67	116	565	10	10	10	10	10	10	10	10	10	10	10	228	10	10
"AFFX-HUMGAPDH/M33197_5_st"	319	92	92	143	10	296	10	116	377	10	308	1027	10	962	121	36	360	526	396	51	10	10	10	10	10	10	10	10	29	10	10	10	144	10	17	10	394	621	10	101	11	201
"AFFX-HSAC07/X00351_5_st"	10	410	10	424	10	552	52	10	295	10	45	1409	149	667	64	10	238	898	580	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	711	98	10	563	332	236
"AB000114_at"	10	162	10	77	335	517	10	184	35	37	29	10	24	165	10	1336	47	48	10	75	10	31	221	10	10	105	21	10	20	75	10	418	10	10	94	99	490	16	10	384	262	49
"AB000462_at"	114	10	10	10	378	10	10	10	87	96	10	76	10	17	163	946	90	70	10	10	109	56	155	186	10	62	174	163	18	315	10	884	57	381	10	105	48	1013	59	10	10	10
"AB000895_at"	10	10	10	10	1508	10	10	329	10	10	10	10	10	10	10	746	10	1008	10	10	473	183	10	126	10	10	10	488	115	10	10	10	10	10	10	10	10	10	158	210	10	10
"AB000896_at"	10	10	141	10	1036	203	10	163	10	10	10	10	10	10	10	1365	13	10	830	338	10	93	10	97	85	10	10	10	10	250	303	96	10	10	10	10	153	10	10	10	10	93
"AB000897_at"	10	10	97	117	2502	10	252	184	10	39	10	10	91	10	10	1325	10	10	803	10	17	10	17	10	10	10	24	361	19	421	133	795	10	10	10	10	10	10	10	10	320	145
"AB002314_at"	26	129	138	10	6764	10	97	1102	56	98	20	65	361	59	74	688	78	176	233	42	153	126	10	13	183	10	66	53	79	10	10	1278	141	1179	80	57	471	27	227	444	10	20
"AB002365_at"	105	10	766	147	10	38	76	10	10	10	1874	2917	3865	3371	2094	1682	1820	1346	7873	3543	451	28	2296	31	99	246	10	242	342	10	2507	4646	7607	6289	10	349	230	1117	10	37	1668	1419
"AB002409_at"	47	10	11	10	10	10	10	56	19	10	10	10	10	82	10	10	10	10	10	51	183	44	970	130	406	69	10	10	11	10	200	10	10	10	10	39	298	10	158	10	10	10
"AC000066_at"	10	10	22	10	191	10	28	67	10	10	18	10	10	94	10	58	10	10	10	10	29	10	10	81	69	50	47	10	10	60	10	305	10	10	10	10	10	46	10	10	344	10
"AC002073_cds1_at"	71	10	46	42	10	10	10	538	42	13	349	480	101	118	10	309	38	34	737	169	269	271	69	518	305	10	10	10	10	10	522	10	368	197	147	177	384	882	10	10	10	84
"AD000092_cds2_at"	131	10	353	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	171	944	10	2113	1467	47	10	455	44	10	10	10	10	10	10	10	10	10	10	10	10	10
"AD000684_cds1_at"	156	10	10	10	168	10	10	194	10	10	42	10	10	10	10	10	10	10	10	10	30	461	213	1526	60	10	24	142	359	10	24	10	10	10	10	10	10	21	10	10	122	10
"AF000234_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	327	10	119	10	10	10	10	10	609	10	10	10	30	10	10	443	10	10	466	10	10	10	155	19	10	10	10
"AF000545_at"	359	63	160	107	235	300	165	375	233	10	10	10	10	968	10	10	844	10	10	10	420	481	10	535	233	81	52	98	10	30	10	10	12	10	10	10	1336	430	10	10	10	10
"AF001620_at"	10	10	10	10	10	10	10	24	10	10	10	10	10	10	10	10	10	10	10	23	10	130	16000	10	1674	10	862	213	213	10	382	10	10	10	10	10	144	10	10	10	268	10
"AF005361_at"	72	10	10	44	63	10	23	910	10	10	126	10	10	35	10	10	10	10	206	79	10	150	10	74	10	10	10	10	10	10	10	10	10	10	10	10	10	108	10	47	186	10
"AF006609_at"	10	89	10	89	273	10	10	184	10	209	10	934	548	10	10	400	10	10	10	239	10	166	10	10	171	91	10	13	59	10	10	10	10	1005	255	10	307	10	450	10	10	10
"AF008445_at"	20	10	10	10	527	10	10	10	10	10	10	10	43	10	508	739	463	558	10	10	696	243	160	150	10	807	10	1166	221	50	10	10	10	10	165	1648	57	430	460	10	344	10
"AF009426_at"	40	10	10	33	10	10	260	77	10	12	10	10	81	70	104	251	87	14	113	10	1511	10	40	10	10	35	17	13	26	10	461	401	211	55	206	24	10	89	242	10	10	99
"AF009674_at"	428	413	10	374	79	687	355	287	149	10	10	1092	669	17	10	65	456	103	1421	1612	87	2576	1019	2312	645	21	795	438	637	691	72	10	10	10	904	283	10	10	10	57	10	609
"AF015950_at"	10	10	10	59	10	10	10	10	117	10	10	10	10	165	10	276	274	10	10	10	10	301	10	10	86	10	10	309	10	10	157	10	102	10	10	10	10	10	10	10	10	10
"AJ001047_at"	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	3130	10	200	10	10	64	192	236	140	10	10	10	10	10	10	10	10	10	10	10	10
"D00591_at"	621	214	346	138	10	199	93	10	10	10	10	10	10	10	433	411	231	80	168	10	927	3480	1622	786	2011	95	1456	401	259	115	10	10	10	10	120	10	10	10	262	10	10	10
"D00654_at"	372	10	10	75	853	10	170	184	46	290	10	10	91	10	398	171	213	2066	222	10	4692	152	96	116	10	1293	128	336	585	60	127	361	10	10	783	10	490	10	19	10	10	10
"D10202_at"	78	177	93	170	10	281	10	10	104	10	10	458	10	253	10	10	10	129	81	352	233	10	10	10	10	112	11	224	75	310	10	337	548	10	10	10	10	10	317	129	355	10
"D10495_at"	181	10	10	10	10	10	10	180	10	10	10	1699	10	10	656	593	826	821	727	10	10	492	10	72	10	831	10	10	184	100	1086	731	654	998	10	485	855	302	297	10	10	78
"D10923_at"	33	10	10	10	77	1117	10	10	10	4019	10	10	10	171	10	10	10	10	10	10	26	13	10	10	10	86	10	10	65	10	188	924	686	10	215	10	250	10	10	225	10	10
"D11139_at"	10	10	10	10	10	10	10	10	10	10	10	10	231	11	10	10	10	10	10	10	10	10	11	10	10	10	10	34	10	120	10	988	10	108	116	51	230	10	222	10	128	183
"D12485_at"	125	10	10	10	10	10	10	10	10	10	10	43	115	10	10	10	10	736	10	10	52	10	10	122	34	126	10	10	10	75	42	10	189	10	10	10	10	4046	153	10	396	10
"D12625_at"	10	16	10	10	84	10	19	10	10	42	22	10	38	10	10	76	24	10	10	10	10	10	12	10	10	62	10	69	10	10	10	779	10	10	10	10	173	10	118	10	10	10
"D12686_at"	225	10	10	10	10	63	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	506	10	145	10	490	10	270	45	10	10	10	10	10	10	10	10	480	10	10	10
"D13305_at"	10	10	10	10	10	10	10	10	10	10	10	71	33	29	334	10	10	10	10	10	10	126	10	10	337	10	10	10	40	10	10	88	173	505	10	10	10	10	10	10	10	64
"D13643_at"	21	10	163	55	10	10	10	10	252	10	10	10	10	10	10	10	10	716	10	10	1871	10	526	1495	108	10	447	173	723	90	777	10	189	10	358	146	10	10	10	10	10	10
"D13645_at"	242	21	22	14	10	12	10	10	478	10	10	10	10	10	10	360	10	10	10	10	10	957	290	1333	154	174	713	336	547	10	10	10	10	10	156	55	10	10	10	210	10	390
"D14533_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	161	180	77	10	70	105	10	307	223	596	10	10	86	10	10	10	10	10	10	10	10	10
"D14660_at"	65	106	69	10	95	42	10	10	21	10	10	10	10	29	10	18	139	24	65	10	436	782	238	426	276	10	240	107	83	10	10	56	10	10	111	33	182	133	10	10	128	52
"D14678_at"	145	23	10	113	10	462	10	191	10	10	10	10	10	10	10	360	10	10	10	10	660	217	314	154	415	26	159	10	211	10	10	10	10	10	40	10	10	10	10	10	10	10
"D14822_at"	10	153	14	37	10	157	37	155	101	77	10	311	303	29	10	10	29	10	238	126	27	105	10	42	10	10	29	40	10	30	443	868	189	472	10	10	461	10	10	116	326	43
"D14823_at"	41	25	10	14	59	10	10	10	10	10	10	10	168	10	109	149	40	18	10	98	10	10	35	10	10	112	41	10	30	40	91	811	10	78	10	10	480	46	29	10	285	10
"D14827_at"	10	10	167	46	10	10	10	155	10	10	38	10	10	10	10	10	234	10	575	10	10	10	10	107	10	10	10	10	10	10	10	10	10	10	94	10	10	384	10	81	496	201
"D14838_at"	10	486	294	10	10	1058	10	3420	243	558	259	10	10	118	10	134	10	10	10	10	108	3922	10	746	882	28	2123	878	372	65	1936	5104	4007	4634	730	142	38	212	10	1496	10	340
"D16181_at"	342	99	639	49	235	131	153	925	108	226	6026	13450	11976	6075	4668	14974	4861	20	16000	5141	180	160	177	110	43	10	29	69	97	75	1238	988	2519	1694	134	53	4846	351	213	858	2952	4024
"D16227_at"	10	10	147	56	10	10	10	673	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5342	10	4895	1688	470	10	10	10	10	10	291	10
"D16532_at"	10	115	123	14	10	44	10	24	106	10	10	10	231	35	366	1605	10	287	368	178	204	1369	10	3034	10	10	14	440	175	85	10	233	496	118	22	47	19	10	99	49	186	518
"D16815_at"	15	174	248	10	20	508	133	1687	245	10	953	300	481	974	245	240	337	85	461	441	385	121	10	11	10	10	51	82	26	10	10	10	448	10	10	212	76	724	10	414	1902	355
"D17357_at"	75	10	58	10	29	13	42	85	39	11	10	256	10	10	10	36	38	10	10	10	10	10	10	10	10	64	37	10	10	10	10	10	38	10	331	53	10	256	148	10	245	64
"D17400_at"	158	151	10	169	10	10	54	10	10	10	10	10	10	10	99	10	72	20	10	10	732	419	517	529	411	253	191	201	246	340	10	10	10	10	179	10	86	10	10	10	10	10
"D17516_at"	159	238	29	78	10	10	10	10	10	10	412	229	14	165	10	10	162	10	103	258	10	20	469	10	10	52	10	103	47	285	285	1430	384	10	71	72	96	332	10	22	326	10
"D21163_at"	10	10	82	40	180	182	10	545	160	10	10	10	10	590	10	320	10	204	10	103	516	452	567	132	685	10	10	330	263	521	48	586	945	742	10	22	10	10	188	10	10	10
"D21239_at"	10	10	10	11	10	29	10	283	10	10	10	366	10	159	10	149	10	10	10	14	199	10	10	47	10	10	215	124	98	10	473	10	10	10	10	10	10	223	44	171	10	10
"D21255_at"	159	894	10	203	10	197	21	77	108	10	315	1147	67	1228	525	640	796	1336	1486	10	417	811	10	249	10	1236	357	144	192	10	36	10	12	10	58	200	10	2103	84	208	10	23
"D21267_at"	1118	1251	6889	2324	728	2365	2001	7468	92	1545	3642	3348	7047	3135	483	546	1246	143	4107	1254	10	222	12	210	10	110	55	334	52	50	16000	16000	16000	16000	10	198	240	144	14	1994	9587	177
"D25215_at"	17	10	12	10	10	10	131	99	10	10	10	10	10	10	10	10	10	10	179	10	10	10	10	10	10	10	61	10	10	10	898	337	10	10	10	10	115	10	10	10	10	10
"D25539_at"	10	10	10	10	10	10	10	141	10	10	475	447	10	106	17	10	297	10	86	211	10	10	206	104	10	19	10	10	10	10	309	1245	41	10	600	31	432	384	10	230	1126	1078
"D26350_at"	10	10	10	20	10	10	10	10	42	10	10	158	404	10	10	152	38	10	43	183	10	10	10	667	10	57	10	15	10	10	200	10	10	10	10	12	134	212	10	10	10	218
"D26561_cds1_at"	10	10	23	10	79	10	10	38	10	74	74	10	10	10	10	134	10	10	10	10	36	86	97	10	44	14	10	10	10	10	10	337	76	10	103	10	10	59	10	37	10	29
"D26561_cds2_at"	10	56	38	27	127	10	10	10	10	10	10	10	10	23	10	156	29	10	217	84	10	107	88	10	10	98	10	30	10	1689	10	651	112	10	344	16	19	79	10	19	787	46
"D26561_cds3_at"	29	35	10	18	10	73	10	10	10	10	112	169	10	106	10	10	10	10	113	94	10	17	90	85	10	16	10	10	10	10	10	32	10	10	10	10	163	57	10	10	274	148
"D29810_at"	43	37	90	10	10	10	109	446	10	29	69	65	10	230	19	10	162	10	10	10	10	10	10	104	10	10	10	11	55	10	109	779	179	279	10	20	144	21	54	99	589	169
"D29833_at"	10	10	10	22	146	10	10	10	10	10	252	218	375	29	436	10	60	10	10	178	10	22	17	49	10	10	7245	15	65	471	10	546	99	10	10	43	317	16	10	14	10	10
"D29958_at"	240	10	10	93	27	299	19	10	261	102	10	10	10	10	24	40	10	78	10	10	662	812	557	787	686	150	612	644	698	10	182	10	10	10	170	175	10	10	10	111	10	10
"D31764_at"	196	10	130	10	10	10	10	297	10	10	10	10	10	10	10	10	10	10	10	10	1179	1035	492	154	677	958	181	982	518	320	2574	10	10	10	10	10	10	10	10	10	10	10
"D31815_at"	98	10	27	10	255	10	10	347	10	10	10	256	10	10	10	10	10	66	10	206	10	10	10	10	10	47	10	10	144	10	576	1503	368	108	10	24	163	89	193	10	157	10
"D37965_at"	35	10	10	20	25	44	10	77	10	10	10	10	10	17	52	80	10	192	59	23	320	40	505	26	552	632	107	67	409	10	42	10	10	10	10	111	10	10	19	10	10	10
"D38293_at"	301	10	364	635	57	343	10	747	92	10	10	10	10	10	10	105	231	10	10	10	57	265	745	10	274	10	228	265	100	962	528	2757	756	151	129	177	10	335	10	10	10	10
"D38449_at"	68	10	46	10	66	10	10	102	10	10	124	10	10	247	190	18	10	42	10	164	224	87	10	62	10	10	10	113	10	10	30	385	10	10	10	93	28	10	10	10	10	10
"D38500_at"	10	10	127	10	10	10	10	10	10	10	10	360	471	10	10	10	10	10	222	150	10	10	10	10	10	10	10	10	10	35	109	554	10	10	10	26	778	10	376	10	10	10
"D38583_at"	165	337	119	774	219	170	175	10	119	29	10	551	101	200	646	1445	1985	941	10	10	1647	832	450	15547	6259	7665	2230	6876	652	1308	10	10	10	10	192	1201	721	43	10	267	478	853
"D42039_at"	10	10	10	24	10	10	10	10	10	84	81	10	38	389	10	10	33	10	130	155	10	10	10	10	10	10	10	10	10	10	133	10	10	10	116	10	605	296	203	10	10	189
"D42045_at"	48	87	127	73	830	10	10	60	56	10	10	10	10	70	37	54	42	10	10	10	10	133	59	34	10	10	101	61	39	55	10	10	76	10	13	10	10	166	267	91	10	10
"D42055_at"	10	10	10	10	10	10	10	10	10	10	15	10	10	70	158	10	155	10	146	10	186	210	10	142	144	91	125	121	10	10	10	10	205	10	10	18	38	10	10	32	10	10
"D43772_at"	296	240	325	282	10	337	10	815	126	10	10	10	10	10	10	10	10	10	260	10	184	187	10	10	110	241	10	332	211	446	10	498	1067	331	10	10	10	10	10	379	10	10
"D45399_at"	709	10	92	10	194	10	1894	244	40	26	133	92	10	29	10	18	81	10	70	10	10	10	23	38	10	55	10	71	10	10	91	289	256	335	10	10	10	62	173	397	13386	139
"D45906_at"	272	476	462	305	178	10	34	10	227	10	10	10	38	401	10	94	10	325	10	10	380	514	206	210	1065	155	516	10	571	10	10	10	10	10	259	272	10	10	639	10	10	10
"D49357_at"	37	10	493	44	10	42	23	10	10	10	10	10	10	10	366	699	10	10	10	10	167	511	10	10	182	10	109	259	59	10	121	10	10	10	10	10	10	280	10	722	10	10
"D49394_at"	10	122	10	34	10	67	10	10	10	48	333	185	173	10	146	10	10	10	10	225	10	10	10	10	13	10	10	71	10	10	333	10	493	426	10	10	10	10	10	10	10	10
"D49493_at"	10	10	10	10	10	10	10	10	10	10	10	1791	10	10	10	10	10	10	287	10	10	61	10	55	10	10	10	107	10	10	72	10	10	10	10	215	10	10	10	10	402	10
"D49817_at"	10	10	10	75	10	386	10	10	188	10	1287	4228	2685	271	788	1707	1453	627	3858	1649	10	85	69	1164	829	229	10	417	10	561	10	10	10	1057	10	134	663	10	901	10	519	434
"D49818_at"	791	70	34	46	10	238	10	1017	10	10	2453	10	240	454	2800	10	717	232	10	164	10	610	10	629	741	10	10	682	47	10	558	10	10	10	259	1164	673	305	1723	10	577	2118
"D50532_at"	10	10	10	15	123	130	10	10	10	10	10	213	154	82	240	36	10	10	10	10	10	10	13	10	10	10	10	10	10	70	10	10	631	2105	10	24	10	10	79	277	10	10
"D50582_at"	10	89	10	10	805	92	96	194	21	26	40	49	24	11	10	58	10	10	135	394	10	10	10	10	10	64	10	10	59	45	182	10	368	279	10	18	336	10	10	111	583	364
"D50692_at"	10	10	99	18	10	10	149	10	24	10	10	10	10	10	10	10	10	279	10	10	10	301	499	759	26	385	269	10	280	10	10	10	10	10	10	295	653	10	10	10	134	10
"D50810_at"	10	10	10	10	10	10	10	280	10	10	10	10	10	10	10	10	10	10	271	10	50	128	10	642	293	10	71	10	10	10	24	10	10	52	10	10	10	1024	10	10	10	10
"D50915_at"	10	10	36	10	267	82	34	10	46	114	10	16	10	10	10	189	128	139	10	23	10	91	132	10	10	10	29	86	10	10	10	281	10	121	22	41	10	10	34	10	268	136
"D50918_at"	122	169	10	152	10	173	10	113	10	10	10	10	10	10	10	10	10	153	10	10	57	383	10	10	385	93	186	128	408	10	10	10	10	10	10	1071	10	10	10	94	10	10
"D50919_at"	76	10	10	20	10	16	10	10	10	10	317	10	10	159	10	10	227	10	222	79	538	176	171	221	10	10	10	32	25	10	10	10	10	10	10	136	57	76	10	10	10	46
"D50923_at"	172	10	10	49	10	10	10	81	10	10	10	10	10	10	10	10	10	10	10	10	10	30	80	347	127	10	10	10	10	165	10	10	10	10	10	10	10	10	113	292	10	10
"D50931_at"	10	10	97	23	10	10	10	194	213	10	1420	3250	10	10	10	10	10	10	10	10	10	502	952	28	10	253	10	128	277	1113	376	10	10	10	10	10	28	10	10	10	344	10
"D63412_at"	369	10	587	41	10	10	106	570	10	10	92	2327	9829	82	3816	5200	5563	10	244	502	10	40	10	250	10	71	97	426	10	90	491	1004	214	1041	67	95	3798	108	108	124	577	320
"D63482_at"	40	10	10	10	10	10	10	10	10	10	10	10	10	271	10	10	10	10	113	10	10	294	16	127	91	10	10	51	10	50	346	10	38	10	10	186	10	10	10	10	10	10
"D64159_at"	16	136	33	130	10	60	10	10	10	10	10	10	10	70	10	61	10	10	10	10	95	44	24	187	10	19	10	36	10	115	10	64	10	10	10	10	10	19	10	205	10	10
"D78333_at"	10	40	33	15	10	10	72	145	30	10	90	16	10	147	10	10	13	56	195	32	10	10	10	171	10	10	73	10	72	10	54	24	32	10	10	10	10	128	10	10	10	43
"D78334_at"	75	10	108	10	10	10	10	60	113	10	10	10	10	10	12	50	31	10	206	10	10	40	52	40	10	76	10	63	16	110	10	10	144	167	143	10	10	10	10	29	192	171
"D78335_at"	296	73	77	288	187	397	168	21	377	10	10	10	10	10	10	10	10	819	10	10	388	691	413	476	606	10	711	251	302	10	10	10	10	10	524	113	10	10	10	347	10	10
"D78514_at"	71	10	10	200	180	263	76	77	56	10	13	251	57	366	86	167	222	46	396	10	1031	1742	90	902	1529	10	276	411	150	10	72	10	10	10	10	10	10	43	10	146	10	10
"D79985_at"	10	1012	721	10	10	10	10	251	10	10	10	10	10	183	10	4989	10	10	477	6439	2675	70	1408	10	10	10	10	440	492	1544	2604	10	10	10	10	10	10	10	10	10	10	10
"D79987_at"	10	10	10	10	10	10	52	10	10	10	10	10	10	10	195	10	10	10	10	10	517	10	10	165	10	10	260	10	331	10	10	10	10	10	76	10	10	10	10	228	10	253
"D79998_at"	98	10	458	29	10	10	98	3335	87	10	10	10	10	10	10	280	10	10	10	216	890	560	259	56	10	10	10	492	464	1253	3035	5562	4154	2243	10	10	10	10	10	22	10	10
"D82326_at"	10	120	40	32	98	10	10	443	10	10	444	10	10	123	225	10	72	10	10	10	10	361	162	127	10	10	62	96	210	10	10	80	10	10	40	101	250	32	317	10	525	440
"D83735_at"	261	10	10	10	10	10	10	10	10	10	10	262	10	10	10	10	10	3987	10	10	974	4559	3816	3602	1093	2658	3400	2464	3362	3785	10	10	10	10	10	1298	10	70	1763	10	10	10
"D83767_at"	131	84	171	108	22	29	10	10	199	10	10	10	10	10	10	10	209	190	168	10	301	672	173	286	177	91	123	199	133	10	10	184	86	10	10	12	10	305	10	32	10	10
"D84276_at"	31	10	10	10	10	13	10	10	10	10	10	10	240	10	59	10	10	10	92	10	54	101	10	10	166	14	10	232	29	10	273	10	10	10	10	179	10	46	49	10	10	10
"D84424_at"	10	10	69	12	10	10	10	439	10	10	10	10	10	10	10	10	10	70	10	10	336	286	10	314	367	74	147	171	103	145	66	10	205	640	10	10	10	92	10	233	10	10
"D84454_at"	148	10	116	10	10	155	10	418	10	10	10	10	10	10	10	10	10	212	10	10	482	546	375	1243	920	524	615	222	478	631	10	10	10	10	10	33	10	351	10	10	10	10
"D85418_at"	315	21	351	265	10	502	186	134	10	10	10	218	10	29	64	58	15	528	10	10	850	2446	1143	463	1695	263	1438	916	949	416	10	10	10	10	10	10	10	10	54	253	10	10
"D85423_at"	39	10	136	108	10	27	17	10	48	53	10	10	10	10	10	10	40	10	10	10	10	66	10	19	10	64	21	10	10	10	248	321	10	10	10	10	10	95	29	12	10	10
"D85939_at"	10	332	10	10	10	10	10	10	10	10	534	447	192	10	391	10	10	54	455	32	10	10	10	10	10	10	10	488	10	1353	10	10	10	10	58	283	1413	10	10	10	1447	311
"D86964_at"	109	174	82	119	10	10	10	159	88	10	33	469	10	312	126	10	166	170	217	51	10	10	10	26	10	98	10	38	34	10	133	10	10	10	10	301	423	10	10	10	10	276
"D86975_at"	10	63	10	203	337	10	86	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	175	46	10	10	10	86	10	10	10	241	10	246	10	10	413	10	10	10	10	10
"D86980_at"	50	14	12	24	141	10	98	659	10	10	67	38	10	64	10	10	24	10	124	10	44	10	10	18	10	10	10	103	10	10	303	192	663	187	67	10	240	553	10	156	227	75
"D87071_at"	458	10	336	10	10	10	174	1548	231	10	10	10	10	10	10	979	22	10	10	10	1447	1495	1769	4482	2708	397	1274	813	978	436	2228	10	586	10	367	1908	1048	8983	10	10	140	10
"D87076_at"	449	10	10	10	10	10	17	1052	10	312	762	3376	794	643	10	10	90	10	553	1043	10	394	177	869	10	10	10	317	315	681	722	1045	1695	2841	10	990	10	1860	10	334	10	10
"D87432_at"	75	10	10	10	10	10	10	10	10	10	10	10	10	17	10	10	87	10	260	10	10	215	331	10	87	107	133	10	101	10	10	10	10	10	40	10	10	539	10	10	175	10
"D87443_at"	10	10	10	10	31	10	10	38	10	10	10	10	10	53	10	29	114	248	10	10	52	420	10	375	55	10	51	130	124	315	10	10	10	10	53	10	10	493	79	10	344	113
"D87457_at"	10	10	108	213	10	39	10	5915	10	10	112	10	10	247	109	1718	10	10	1904	10	71	30	1313	616	10	10	10	10	10	10	2039	10	1314	259	10	10	10	10	173	10	10	104
"D87458_at"	101	10	598	10	10	10	61	3136	71	10	1075	1961	351	5815	418	1718	2487	388	3342	451	10	34	10	16	63	40	10	346	243	185	5020	4477	2930	2341	416	16	471	708	39	24	250	842
"D87463_at"	53	224	1883	76	10	10	10	744	10	39	60	10	827	295	153	688	58	165	618	10	10	10	10	10	112	47	10	99	47	85	16000	11422	12884	10838	10	10	10	280	10	74	834	49
