	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
AFFX-HSAC07/X00351_5_st	10	10	248	63	10	10	10	10	10	10	10	25	10	399	10	344	87	123	691	10	10	78	10	273	236	10	10	397	10	95	10	450	10	463	10	10	10	77	10	10	10	10	10	10	10	10	824	108	10	912	10	10	10	716	10	77	10	460	338	10	172	10	10	10	501	10	52	1296	10	10	10	10	10	10	10	10	10
AB000409_at	10	122	614	198	145	369	436	167	401	182	385	416	429	10	190	24	42	152	470	200	10	463	172	211	426	234	10	10	10	53	10	10	692	489	10	447	1225	461	10	116	206	343	10	361	10	567	132	226	243	139	157	219	153	10	382	30	75	214	10	10	10	347	10	21	10	10	23	10	157	10	135	383	424	10	176	11	10
AB002314_at	10	10	55	10	10	10	42	10	87	94	10	10	172	10	110	42	20	128	18	124	183	105	59	10	11	10	53	41	10	86	46	127	150	10	264	10	10	10	279	34	248	124	229	10	56	36	100	159	75	10	131	85	31	498	10	10	89	88	29	10	491	542	139	442	71	18	18	10	10	130	75	93	172	299	172	117	56
AB002409_at	10	226	275	89	10	441	131	7631	426	197	199	378	431	39	2870	295	1022	301	10	1290	10	452	143	819	658	10	10	166	2344	13	41	123	688	380	543	3966	1183	2221	896	228	10	10	10	321	166	3150	606	10	221	238	375	10	2904	284	10	557	730	158	4290	10664	289	1887	2367	639	9677	5664	1580	263	850	4670	1321	12732	2503	5287	6348	3492	2818
AC002073_cds1_at	10	10	10	11	10	10	10	10	10	49	10	31	154	20	10	166	174	206	10	129	10	10	116	182	70	158	10	36	251	21	230	25	10	600	23	357	82	10	10	170	145	19	10	145	138	240	10	23	10	294	99	142	191	10	537	10	79	56	277	538	10	10	249	10	537	716	13	194	687	259	209	201	571	11	560	266	251
AD000092_cds1_at	10	97	286	323	100	174	275	936	10	183	1114	362	245	94	90	24	356	112	10	10	10	406	12	81	10	10	10	10	10	10	63	10	346	88	10	106	561	643	10	110	323	117	10	239	10	10	10	196	86	37	10	551	492	78	162	10	10	53	206	328	275	10	10	3773	25	10	10	195	16	51	10	10	10	10	10	10	10
AD001527_cds1_at	79	73	75	47	96	165	10	238	10	80	195	116	10	281	10	163	15	10	51	10	90	10	35	100	1859	68	10	149	86	29	178	87	10	195	240	98	45	139	49	10	10	10	10	74	65	10	113	89	10	138	90	191	98	52	101	143	148	99	89	173	313	170	128	206	187	118	129	10	137	134	95	115	10	10	10	10	174
AF000959_at	10	118	10	10	10	10	318	453	10	200	10	91	417	10	164	22	10	10	10	10	10	13	10	35	10	10	10	10	10	76	293	10	10	324	10	602	10	10	10	10	10	10	233	10	10	2089	10	10	82	83	10	10	255	150	10	94	234	80	10	202	80	10	301	10	787	103	10	116	413	302	222	203	646	10	467	86	109
AF001294_at	39	15	466	10	15	10	110	10	222	65	289	98	359	10	242	10	265	65	567	45	223	849	86	298	252	190	134	196	123	85	10	10	10	144	401	345	10	10	98	43	262	80	191	10	321	94	78	219	82	50	268	439	10	159	108	62	10	221	321	308	491	275	17	1695	144	32	10	304	10	10	10	190	10	10	62	10	10
AF009674_at	10	165	10	168	10	232	549	230	550	471	10	497	700	10	10	65	10	10	10	10	10	10	64	10	10	10	158	10	10	209	10	10	662	78	10	10	624	818	10	10	10	636	10	887	10	10	10	10	99	10	760	1344	10	10	119	10	10	10	520	10	10	10	10	10	93	10	212	349	10	10	10	10	261	10	102	10	10
D00654_at	51	48	10507	10241	75	24	4156	10	10	26	10	10	10	1243	437	10	10	1171	3592	1224	194	523	40	10	10728	10	4792	16	10	638	307	1291	151	135	10	10	68	159	96	791	1798	10	121	2908	81	10	70	10	495	609	380	157	155	10	46	10	10	7186	22	105	312	347	164	4443	10	10	53	34	208	97	124	77	46	55	286	28	154
D10704_at	78	144	10	480	106	316	741	715	252	215	249	506	182	10	10	136	10	178	10	10	10	526	63	154	294	10	10	41	10	10	40	36	1024	242	10	184	309	957	10	296	118	100	10	448	19	363	10	10	27	224	80	135	134	10	226	10	10	109	10	10	10	10	10	691	10	49	10	154	112	86	10	10	193	10	126	89	10
D13626_at	84	10	10	10	3159	124	10	10	10	10	297	223	10	41	46	10	10	10	10	10	10	10	10	10	86	10	10	10	118	10	235	10	10	67	132	116	285	17	34	10	10	10	10	31	10	10	29	10	10	32	10	10	82	10	92	171	102	47	66	89	10	10	10	10	27	342	110	10	14	26	157	519	10	10	10	10	217
D13637_at	71	126	71	69	10	140	18	208	287	105	10	153	642	191	10	152	244	136	10	10	10	646	103	99	221	10	10	10	10	25	10	10	10	673	10	422	10	10	10	77	111	344	10	13	200	653	10	101	186	175	133	10	204	10	684	13	76	312	10	10	10	10	10	10	10	213	10	195	458	10	177	10	581	10	600	195	10
D13645_at	112	24	206	837	53	218	156	216	10	49	10	355	10	10	10	299	10	287	264	10	10	10	308	126	588	10	10	10	10	10	170	109	10	234	10	64	282	1260	10	126	10	10	10	209	28	314	10	213	10	464	10	436	347	10	525	10	335	97	10	10	10	10	10	10	10	10	10	10	177	69	88	60	10	10	10	10	10
D14660_at	136	189	180	97	111	134	10	21	10	313	10	145	278	10	10	116	10	191	11	79	10	42	404	10	129	10	10	10	10	10	187	50	63	106	10	10	333	191	10	102	10	105	40	74	38	109	10	89	94	37	228	59	214	10	191	27	27	61	10	10	10	10	10	10	10	91	32	47	142	48	10	91	22	10	188	65	10
D14664_at	16	199	158	134	221	157	10	250	23	259	10	139	166	253	113	86	10	10	10	10	63	84	78	149	163	16	10	31	25	10	281	53	100	409	10	273	141	153	23	41	13	10	10	111	10	468	72	105	102	42	159	175	300	10	339	45	73	87	281	160	10	10	10	10	184	175	147	11	259	83	266	202	372	10	164	10	166
D14686_at	10	104	10	243	10	352	47	10	177	70	203	83	187	652	394	10	10	10	10	10	215	10	10	58	198	89	208	10	418	64	146	64	471	68	10	174	388	10	582	10	10	10	154	353	10	23	290	152	10	10	178	10	10	247	10	10	12	10	10	190	10	614	15	10	257	10	10	105	10	305	197	143	186	10	10	95	207
D14827_at	10	57	10	10	10	10	10	46	10	106	10	10	10	1068	894	10	10	10	10	10	1085	10	10	10	113	10	10	10	125	10	10	33	10	10	600	105	10	10	78	18	10	10	10	10	10	10	556	10	10	10	81	141	10	448	10	10	10	10	10	210	10	10	10	10	10	10	10	10	10	25	10	10	10	10	10	10	10
D16593_at	224	251	903	400	371	62	10	766	10	130	558	79	10	528	528	87	10	10	315	10	742	275	34	319	157	599	10	430	535	10	342	266	10	219	2272	301	744	258	1178	203	10	10	10	116	81	364	223	218	10	379	10	249	112	372	182	295	143	188	317	663	10	10	47	11157	360	199	120	474	94	211	170	68	10	17	10	10	563
D17400_at	218	166	10	210	10	103	42	53	114	207	10	142	707	10	10	483	10	577	10	41	10	98	733	136	41	10	10	10	10	55	721	69	1071	137	10	208	401	307	10	169	70	192	153	143	91	306	91	10	90	58	17	673	227	10	356	23	97	10	10	10	10	10	10	10	10	287	10	10	153	124	154	74	70	10	10	10	10
D25539_at	125	54	115	10	315	334	36	10	60	45	10	42	276	10	10	552	10	150	172	10	327	10	235	10	27	39	10	31	10	158	132	303	1705	10	10	102	32	220	200	138	10	10	10	377	190	776	383	116	334	258	270	805	371	87	176	46	10	42	51	65	10	10	10	678	93	160	112	105	134	687	10	174	10	10	176	10	152
D26018_at	31	165	217	61	279	568	517	223	533	119	88	308	426	10	10	241	105	343	10	24	10	86	312	10	230	10	10	29	10	10	93	10	703	174	10	40	408	842	10	86	112	10	10	378	125	319	135	235	259	174	67	385	68	10	301	10	86	81	10	10	10	44	50	10	10	105	10	10	108	111	10	75	10	10	10	10	10
D29677_at	75	434	738	366	352	560	332	861	367	410	805	441	670	76	10	44	90	10	372	10	10	218	48	278	113	10	10	10	10	10	492	10	589	428	10	615	524	600	10	243	262	322	10	434	10	432	10	113	401	258	292	986	172	59	680	10	381	246	273	27	10	10	170	10	135	335	70	236	390	463	475	799	452	10	481	172	39
D29958_at	10	186	711	190	486	636	149	325	721	143	157	502	744	10	10	326	416	576	10	10	10	573	542	432	185	10	10	219	10	573	354	251	904	527	10	219	635	1031	10	415	110	403	10	914	123	585	10	323	513	127	102	438	376	10	344	10	167	164	10	10	10	10	10	10	10	68	32	77	173	10	10	198	25	10	197	10	10
D31763_at	86	262	106	75	440	307	10	81	10	258	10	15	179	10	10	109	10	10	21	10	10	85	233	250	199	10	10	57	10	10	928	15	505	128	103	172	135	90	10	79	10	10	10	411	46	232	10	17	14	82	222	511	19	10	240	38	93	107	68	120	10	10	91	10	38	129	161	152	303	206	313	364	305	10	204	94	58
D31764_at	10	816	240	216	208	301	185	396	10	197	10	183	992	10	10	10	378	10	10	406	10	10	827	10	494	10	311	10	10	10	921	10	204	867	10	952	561	422	10	576	583	928	195	187	75	10	422	417	749	520	181	905	510	10	596	10	557	10	10	10	10	10	10	10	10	10	164	10	227	146	332	263	1072	10	1292	157	10
D31886_at	10	10	15	10	182	10	10	66	10	10	10	89	307	10	10	10	69	10	108	10	10	10	94	10	10	10	10	10	10	10	148	10	10	449	10	92	16	10	10	54	10	162	10	10	140	10	10	10	78	108	49	10	10	10	1009	10	91	10	207	10	10	10	17	10	10	105	29	224	216	370	169	244	406	10	452	180	63
D31897_at	42	199	10	95	236	196	42	10	10	48	324	51	28	10	100	10	79	10	10	10	39	300	10	114	131	37	119	10	10	37	10	10	74	163	118	129	152	287	180	144	55	10	10	194	83	10	78	30	48	145	10	201	68	10	26	10	151	10	10	10	10	270	27	223	10	39	18	10	89	10	10	10	35	117	245	34	10
D38037_at	10	10	218	67	83	10	10	130	10	45	10	10	10	147	154	10	101	10	10	10	10	34	10	10	10	10	18	10	54	10	201	10	248	10	321	220	10	111	10	10	10	10	10	106	10	10	10	10	10	69	68	10	10	291	10	10	10	10	10	10	465	10	97	2412	131	10	10	10	10	10	10	10	10	10	161	10	10
D38128_at	10	395	10	10	136	218	235	10	10	212	111	185	10	10	10	10	10	10	3280	10	10	10	10	48	10	10	49	10	208	10	10	10	10	10	10	10	174	10	10	10	10	10	10	10	149	10	10	10	10	67	52	10	10	17	10	10	10	227	10	10	148	258	10	10	10	10	10	10	10	10	10	10	10	93	10	10	10
D38305_at	10	570	144	1180	252	594	246	732	36	495	19	358	81	10	10	10	10	10	10	10	10	10	217	10	296	206	10	10	10	10	10	10	119	144	10	122	357	230	10	10	10	10	10	317	10	507	37	11	10	10	10	10	10	10	124	10	10	10	10	10	10	10	10	10	10	38	18	10	10	11	10	52	207	10	10	10	10
D42073_at	10	210	207	234	104	374	716	216	113	524	74	435	149	11	30	41	121	121	11	81	10	346	72	120	297	56	10	34	10	10	309	123	103	567	10	203	133	164	10	65	138	78	10	323	49	596	10	111	51	10	254	10	176	10	117	10	68	140	10	10	10	10	10	10	257	129	81	10	112	100	72	196	70	10	66	10	10
D43772_at	10	438	87	392	357	388	567	501	282	578	613	451	295	10	10	232	10	10	10	22	10	10	64	10	10	10	88	10	10	10	10	10	574	10	245	95	529	524	10	10	10	10	10	127	10	10	10	10	10	161	10	767	10	10	10	10	378	210	10	10	10	10	173	10	10	10	10	10	25	10	58	10	128	10	10	10	10
D49357_at	10	10	10	10	115	10	10	10	10	10	10	10	23	11	10	387	338	67	10	10	10	210	228	439	35	10	10	10	10	289	10	10	10	430	10	10	10	10	10	58	24	241	10	10	234	10	174	14	10	414	266	10	109	10	127	10	10	221	241	10	10	10	10	10	10	10	10	191	238	10	10	10	139	10	93	10	10
D49394_at	1582	1304	616	936	1667	1435	10	1102	10	1789	49	236	469	10	260	1340	266	8523	456	333	431	4643	725	127	616	917	1763	2080	13	114	1231	33	10	2176	245	110	24	441	826	10	210	493	1858	10	2519	12760	145	10	6327	307	963	1683	283	335	5186	389	142	1682	2376	1440	336	176	1735	10	139	175	423	3207	1300	495	434	617	180	887	10	122	500
D49817_at	10	10	10	337	10	10	10	10	10	67	446	180	10	10	10	10	165	10	343	71	10	1686	10	451	10	10	10	302	10	10	10	144	10	654	10	10	10	164	10	10	116	10	164	10	221	1108	10	10	10	205	10	10	10	248	143	10	10	445	119	10	10	10	10	10	10	10	10	10	10	10	10	10	30	10	10	10	10
D49818_at	35	10	10	10	110	10	10	10	10	10	10	83	404	10	10	231	10	10	73	10	10	10	76	403	131	10	22	10	59	325	346	216	10	482	10	506	10	10	10	32	91	347	163	10	75	10	107	328	44	215	10	10	248	220	465	220	223	275	125	249	94	10	10	10	38	47	10	302	247	190	66	71	138	10	309	10	68
D50495_at	10	10	10	140	10	10	10	10	10	10	10	10	10	352	79	10	10	10	10	239	10	10	10	346	10	10	319	10	10	137	441	147	82	72	496	10	388	10	10	10	137	86	102	10	10	10	10	10	10	10	635	10	10	58	10	232	250	10	10	451	917	10	10	6409	394	509	147	104	49	49	282	10	320	10	266	677	10
D50645_at	264	331	36	45	149	285	156	164	10	197	10	168	248	10	10	269	68	166	518	64	10	12	370	116	61	94	10	10	43	10	240	10	458	507	10	369	74	288	10	183	153	213	10	159	10	632	10	175	81	10	403	308	272	25	394	99	141	10	10	100	10	10	10	10	10	413	231	87	611	547	287	333	235	10	506	56	10
D50914_at	301	334	164	416	10	382	1476	467	414	345	155	818	499	23	10	564	303	146	267	233	10	330	326	588	156	10	10	202	10	108	2075	81	2042	237	10	100	1092	2797	10	443	367	1835	22	703	10	2734	10	148	813	87	245	233	339	120	771	152	24	227	10	10	10	10	10	10	10	207	10	186	176	108	10	184	10	10	17	10	94
D50920_at	10	441	265	422	206	737	341	380	287	534	675	533	690	101	10	146	58	85	286	72	10	942	170	421	601	10	10	21	10	10	326	10	584	446	118	317	550	703	10	26	254	246	10	598	116	740	217	95	258	228	266	568	172	59	193	10	111	318	35	10	162	10	10	10	98	10	10	10	178	289	10	10	38	10	154	19	10
D50922_at	10	161	10	132	137	378	239	294	225	339	270	295	457	166	10	230	95	174	156	10	39	416	10	195	472	10	100	10	148	92	411	158	325	444	10	245	136	400	10	10	10	293	132	210	10	208	161	10	10	10	197	269	305	196	61	190	276	151	10	10	217	179	121	536	48	78	10	10	97	10	58	19	55	171	243	133	10
D50923_at	10	12	298	188	391	349	194	196	246	136	211	493	314	10	10	423	10	24	10	150	10	10	154	36	169	10	10	10	10	10	10	10	807	253	10	180	406	486	10	150	323	336	178	363	159	64	57	10	152	10	10	446	237	10	298	91	169	10	199	10	10	10	10	10	10	154	10	10	172	10	10	36	124	10	311	178	10
D50931_at	10	93	489	10	305	455	773	482	889	11	10	372	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	802	10	10	10	427	996	10	10	10	10	10	581	39	43	10	10	10	10	10	372	10	10	10	10	10	10	10	10	10	10	10	1541	10	10	10	10	10	10	10	60	10	10	10	10	10
D55696_at	53	790	1010	493	382	1672	18	271	10	750	10	581	3198	5850	597	97	627	301	1004	54	10	1168	375	1644	3245	10	789	273	697	1075	3558	319	10	2878	647	5792	1921	971	986	1272	3117	853	10	522	371	1826	10	1467	701	843	429	3532	2688	519	571	10	131	1513	10	116	10	10	10	1571	228	318	126	256	674	216	90	904	386	430	631	117	10
D63390_at	164	10	246	245	10	116	10	10	107	10	44	154	79	73	198	124	10	24	367	44	93	125	190	17	10	238	10	10	10	70	243	94	10	57	151	17	93	10	555	35	50	10	76	10	55	25	141	11	10	10	188	67	22	28	10	128	95	69	167	104	10	159	10	98	10	165	194	24	133	94	86	182	10	10	10	30	142
D63391_at	10	468	498	418	83	119	88	10	10	234	276	346	10	10	10	279	159	98	10	10	10	10	201	126	622	43	10	123	10	10	406	10	303	91	10	109	173	726	10	12	10	10	10	39	10	437	10	10	539	10	45	1219	182	10	10	10	173	42	10	39	10	10	10	10	10	90	10	69	31	10	10	112	12	10	10	10	10
D64109_at	127	1572	2054	1551	487	1682	45	1246	10	1558	918	1131	10	369	203	459	10	10	69	10	556	25	10	395	102	29	10	10	84	10	94	10	1151	220	10	651	1141	1557	343	10	10	10	10	1426	133	1192	76	55	41	360	64	166	10	87	432	10	221	614	738	10	10	10	10	10	10	101	169	1670	258	741	141	115	10	10	10	10	10
D64159_at	10	10	384	386	768	68	10	124	182	10	1058	152	10	10	10	29	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2398	337	10	48	10	10	10	65	10	10	10	10	10	23	10	10	10	25	185	10	10	10	10	10	10	10	10	10	10	155	36	10	22	10	10	10	10	10	10	10	10
D78335_at	94	10	10	113	305	10	153	46	10	10	10	149	122	92	136	184	173	138	10	45	10	184	184	10	56	10	10	10	10	170	10	39	39	298	10	102	10	405	10	272	24	348	85	167	10	10	10	226	187	116	229	10	302	154	56	10	67	144	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	67	10	10
D78514_at	247	10	10	10	10	32	10	10	10	10	10	10	390	10	10	827	399	148	1155	10	10	284	403	138	10	10	10	77	10	182	1062	326	95	530	10	178	45	10	10	276	241	392	141	10	10	677	424	355	202	412	71	40	578	148	278	10	156	159	54	10	10	10	10	10	22	326	10	251	470	901	125	213	110	10	376	271	10
D79985_at	10	284	10	10	10	329	972	1244	451	14	10	626	150	10	10	10	10	10	10	10	10	10	137	10	10	10	10	10	10	10	10	10	557	10	10	10	215	1236	10	10	10	10	10	673	10	29	10	19	151	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
D79987_at	10	38	81	71	100	196	10	35	10	10	10	45	972	10	10	10	10	130	402	10	10	34	81	398	10	10	10	10	10	10	10	10	1085	10	10	10	806	244	10	10	10	68	211	213	10	625	10	10	171	10	10	66	10	80	113	10	10	10	103	10	10	10	10	10	10	10	81	10	10	22	10	10	10	10	10	10	10
D79989_at	10	217	10	10	34	101	176	14	69	93	88	145	120	10	56	52	10	10	10	10	42	186	10	116	108	10	10	56	10	37	85	10	241	56	85	25	310	127	10	10	83	292	86	191	69	10	13	10	10	10	77	178	10	10	17	10	131	11	95	80	10	10	199	10	72	76	149	24	179	52	64	58	63	10	139	111	25
D79997_at	433	471	643	398	965	650	1899	362	988	344	535	588	1411	62	33	1021	120	548	889	64	47	1126	479	171	253	39	10	25	48	328	2195	128	1871	343	467	54	609	672	308	183	90	564	246	608	10	1234	420	557	495	665	765	1458	656	136	544	112	700	39	51	37	10	22	40	77	17	108	127	62	99	121	10	112	10	10	10	10	10
D82060_at	60	148	10	73	10	66	88	110	10	137	10	77	162	113	46	58	10	145	205	10	10	43	57	157	148	66	10	111	54	10	41	183	130	371	10	37	165	172	10	104	10	95	10	152	10	215	37	101	142	77	166	157	131	26	75	66	103	186	112	12	10	10	10	10	108	107	73	180	89	145	78	153	11	10	10	10	10
D82346_at	114	723	115	128	104	10	104	10	10	882	10	36	105	10	10	66	51	10	72	10	10	96	10	178	10	10	114	10	10	40	216	36	32	44	10	45	34	159	46	38	10	139	46	10	10	10	83	10	26	61	10	10	10	67	79	112	233	93	39	111	61	10	88	10	33	10	10	54	10	24	10	46	10	10	79	10	10
D83699_at	212	53	10	249	10	10	10	92	10	64	147	77	10	205	23	81	10	10	124	10	298	10	10	134	10	10	308	10	137	171	414	109	10	10	10	10	10	105	84	162	132	10	382	17	10	10	117	10	10	43	87	104	10	180	519	308	200	95	146	10	205	10	143	10	30	340	10	460	162	40	162	28	74	10	37	298	262
D83780_at	73	482	215	33	10	133	10	10	164	583	10	10	728	292	195	175	569	10	791	10	337	1611	515	10	159	10	10	10	432	230	820	546	301	138	10	148	186	261	10	43	536	622	172	264	274	475	411	10	160	411	184	10	55	914	438	10	124	633	620	306	674	38	10	10	354	10	152	491	346	242	217	268	182	10	470	330	10
D83782_at	10	114	217	180	10	312	10	132	704	10	10	635	697	10	10	10	120	10	10	10	10	10	10	292	10	10	10	10	10	10	150	10	696	490	10	452	483	785	10	222	176	571	10	759	10	10	10	10	241	10	229	286	59	10	448	10	150	10	10	10	10	10	10	10	10	10	10	10	10	123	10	46	195	10	10	10	10
D83783_at	10	657	726	682	210	540	483	509	280	680	510	610	211	239	10	10	177	10	670	55	10	634	10	208	303	10	10	10	10	10	17	10	946	290	10	237	499	1032	10	10	409	174	10	445	153	60	10	10	536	398	10	10	10	10	544	10	116	220	214	10	10	10	10	10	10	19	10	44	10	635	10	69	35	10	10	10	10
D83920_at	10	111	10	37	10	10	97	10	10	58	10	321	203	461	10	10	10	10	525	10	10	664	10	27	50	10	79	10	146	91	317	10	10	729	10	939	10	10	10	105	437	92	10	13	10	183	10	14	761	153	320	10	229	10	182	155	354	50	10	119	10	10	47	201	24	36	10	10	10	153	10	10	58	10	10	10	10
D84454_at	10	147	342	232	95	367	196	320	337	288	441	221	10	10	10	239	10	199	10	10	10	215	10	10	10	10	10	10	10	10	1220	10	699	309	10	203	599	769	10	60	10	10	10	378	125	1357	10	10	33	10	358	95	10	10	779	10	10	10	10	10	10	10	10	10	10	10	10	11	34	256	10	10	124	10	10	10	10
D85181_at	73	66	161	160	836	103	10	19	10	169	10	34	27	53	41	65	27	575	124	10	10	43	161	212	87	10	10	10	36	10	375	186	97	113	10	109	231	311	119	70	10	10	10	48	49	455	141	10	10	192	35	824	43	163	79	103	82	174	139	10	10	10	10	10	17	172	104	116	198	157	91	170	10	10	10	10	10
D85418_at	10	10	390	111	298	10	10	152	10	10	10	10	408	10	10	144	10	91	10	164	10	562	192	171	10	10	10	10	10	10	251	10	254	329	10	285	257	354	10	199	10	296	10	141	202	194	10	10	187	10	197	448	196	10	347	10	57	10	85	10	10	10	10	10	10	286	10	40	188	473	263	609	166	10	355	10	10
D85939_at	211	10	10	10	10	10	54	10	10	10	10	10	10	585	592	10	325	52	88	10	322	558	10	10	10	10	145	50	331	57	10	10	70	10	430	64	533	10	375	10	10	10	56	130	10	10	10	28	10	10	10	10	10	842	10	10	15	251	10	10	320	303	10	446	360	10	10	183	10	10	10	176	10	281	10	104	10
