"","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML"
"AFFX-HUMRGE/M10098_5_at",13.8275411901725,9.2644426002266,12.4688785538194,12.2437690319619,10.3264294871223,12.0182001788132,13.9657842846621,11.9417812422785,13.6667787788304,3.32192809488736,9.62753388447279,13.0187217919702,3.32192809488736,9.83289001416474,12.7313190310251,3.32192809488736,3.32192809488736,9.70043971814109,3.32192809488736,6.12928301694497,3.32192809488736,13.9657842846621,13.9657842846621,3.32192809488736,12.2755425560867,4.85798099512757,12.9572834555884,8.97727992349992,11.0841440106151,9.17990909001493,11.0920964149908,9.67771964164101,10.0566377151132,8.78790255939143,5.49185309632967,13.142426202319,12.3440184398813,10.2934716488381,5.83289001416474,3.32192809488736,3.32192809488736,3.32192809488736,10.5048189876328,13.3316167738451,6.70043971814109,8.26209484537018,7.8008998999203,3.32192809488736,8.18487534290828,13.0323901688665,3.32192809488736,4.95419631038687,5,5.7279204545632,6.7279204545632,3.32192809488736,3.32192809488736,3.32192809488736,5.16992500144231,10.4470832262097,10.902375114486,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.70043971814109,9.15228484230658,11.8772841335232,3.32192809488736,5.08746284125034
"AFFX-HUMRGE/M10098_M_at",13.2494097852691,6.84549005094437,11.6759570329417,11.1630206395808,11.4152135987653,11.4215389068483,13.4292759619245,10.5961897561444,12.8281364841941,3.32192809488736,6.93073733756289,12.0375469539622,3.32192809488736,9.1873520732005,12.7619666953821,3.32192809488736,3.32192809488736,9.86573327085176,3.32192809488736,3.32192809488736,3.32192809488736,13.7077904955288,13.9657842846621,3.32192809488736,11.380461065089,3.32192809488736,11.967226258836,6.52356195605701,10.7747870596012,7.02236781302845,10.6101020629997,9.00281501560705,8.96000193206808,3.32192809488736,3.32192809488736,11.9113919878435,10.8680508537452,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.3037807481771,12.5574637015978,5.7279204545632,3.32192809488736,5.7279204545632,3.32192809488736,5.4594316186373,12.0518886559054,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.467605550083,7.72109918870718,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.90086680798075,11.0794847838268,3.32192809488736,3.32192809488736
"AFFX-HUMRGE/M10098_3_at",13.0581608843987,10.5679560754155,11.8407779235951,11.3269911749008,8.3037807481771,11.2312211807112,13.9657842846621,10.3431857154479,13.7668394438555,3.32192809488736,10.6008421143873,12.3855928136014,3.32192809488736,10.9038818457362,11.4199601778479,3.32192809488736,3.32192809488736,8.09275714091985,3.32192809488736,3.32192809488736,3.32192809488736,13.2979193224187,12.5228266999258,3.32192809488736,12.0691140617739,3.32192809488736,11.3353903546939,6.83289001416474,9.82017896241519,3.32192809488736,9.76487159073609,10.9203528554151,10.9936460600166,3.32192809488736,3.32192809488736,11.4802853209364,10.4146852358072,8.22881869049588,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.49984588708321,11.894059846274,3.32192809488736,3.32192809488736,7.98868468677217,3.58496250072116,8.35314682549808,12.7383034114746,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.1019756709492,8.94251450533924,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.90689059560852,7.02236781302845,10.0714623625566,3.32192809488736,3.32192809488736
"AFFX-HUMTFRR/M11507_M_at",6.12928301694497,7.25738784269265,6.04439411935845,3.32192809488736,6.28540221886225,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.8073549220576,3.32192809488736,3.32192809488736,4.39231742277876,3.32192809488736,7.37503943134692,6.28540221886225,4.32192809488736,7.19967234483636,5.70043971814109,3.32192809488736,5.49185309632967,3.32192809488736,7.78135971352466,3.32192809488736,3.32192809488736,3.32192809488736,8.00562454919388,6.4262647547021,9.49785183695112,10.1382718001722,8.73809225962049,8.55074678538324,6.24792751344359,5.55458885167764,4.4594316186373,8.94836723158468,4.24792751344359,3.32192809488736,8.64024493622235,6.64385618977472,3.32192809488736,3.32192809488736,3.32192809488736,8.88569637333939,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.39231742277876,3.32192809488736,3.32192809488736,3.32192809488736,6.52356195605701,3.32192809488736,4.16992500144231,3.32192809488736,3.32192809488736,8.95419631038687,8.38801728534514,7.33985000288462,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.53915881110803,6.89481776330794,4,3.32192809488736,3.32192809488736
"AFFX-M27830_5_at",12.7206717868256,11.1130909834424,11.6991386252759,11.5783726913608,10.1421070573025,11.9314762338868,12.9220268394059,12.0623834918763,12.577900836887,3.32192809488736,10.5802585674998,12.0495082510551,5.78135971352466,9.29462074889163,11.4372319010395,6.95419631038687,3.58496250072116,11.3890935219045,7.17990909001493,8.31288295528435,4.24792751344359,12.876133200043,12.8636055443214,7.93663793900257,13.1492707991215,8.33091687811462,12.192601049712,9.13185696060879,10.7590559391602,9.48784003382305,10.6750749203854,11.9461752407236,10.7397806097733,8.07146236255662,7.70735913208088,11.9214690605314,11.0450770519349,9.76487159073609,12.6479080742818,6.52356195605701,7.69348695749933,7.4093909361377,10.5420645422834,13.6229669447905,8.13442632022093,9.18982455888002,13.9657842846621,13.893206713402,13.9657842846621,13.9657842846621,8.31741261376487,8.43462822763673,8.7176764230664,7.79441586635011,7.64385618977472,6.70043971814109,8.47167521439204,7.96000193206808,8.10852445677817,11.0223678130285,10.2070143201775,6.84549005094437,3.32192809488736,6.28540221886225,6.2667865406949,6.08746284125034,3.32192809488736,7.14974711950468,8.44708322620965,10.0084286220706,7.18982455888002,7.65105169117893
"AFFX-HUMGAPDH/M33197_5_st",7.90689059560852,6.4262647547021,7.97727992349992,3.32192809488736,4.8073549220576,6.14974711950468,3.32192809488736,3.32192809488736,7.876516946565,3.32192809488736,7.6724253419715,7.21916852046216,3.32192809488736,6.06608919045777,6.59991284218713,4.8073549220576,3.32192809488736,7.38370429247405,6.49185309632967,3.32192809488736,3.32192809488736,7.14974711950468,6.75488750216347,6.22881869049588,8.10328780841202,3.32192809488736,3.32192809488736,7.70735913208088,3.32192809488736,7.32192809488736,8.58871463558226,8.87344411251538,8.31741261376487,3.32192809488736,8.09275714091985,7.2667865406949,5.58496250072116,8.99435343685886,6.16992500144231,3.32192809488736,7.01122725542325,3.32192809488736,5.12928301694497,3.32192809488736,7.05528243550119,7.97727992349992,3.32192809488736,5.7279204545632,7.12928301694497,6.97727992349992,5.64385618977472,6.18982455888002,3.32192809488736,7.4594316186373,3.32192809488736,6.06608919045777,4.8073549220576,5.4262647547021,7.34872815423108,5.64385618977472,7.39231742277876,9.06069593168755,4.32192809488736,3.32192809488736,6.37503943134692,7.63662462054365,3.32192809488736,3.32192809488736,3.32192809488736,7.91288933622996,3.32192809488736,3.32192809488736
"AFFX-HSAC07/X00351_5_st",3.32192809488736,7.53138146051631,7.12928301694497,3.32192809488736,3.32192809488736,8.57742882803575,3.32192809488736,3.32192809488736,7.03342300153745,3.32192809488736,3.32192809488736,6.8703647195834,3.32192809488736,4.08746284125034,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.35755200461808,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.10852445677817,7.98299357469431,3.32192809488736,3.32192809488736,5.12928301694497,3.32192809488736,7.49984588708321,7.93073733756289,6.58496250072116,4.75488750216347,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.43879185257826,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.08746284125034,3.32192809488736,3.32192809488736
"AB000114_at",6.16992500144231,4.39231742277876,3.32192809488736,5.93073733756289,4,6.4093909361377,3.32192809488736,4.64385618977472,3.32192809488736,6.02236781302845,3.32192809488736,3.58496250072116,5.28540221886225,6.08746284125034,5.39231742277876,4.16992500144231,6.59991284218713,5.61470984411521,5.35755200461808,6.37503943134692,4.8073549220576,4.70043971814109,7.44294349584873,3.32192809488736,7.2667865406949,5.49185309632967,6.44294349584873,5.16992500144231,3.32192809488736,3.32192809488736,5.16992500144231,3.32192809488736,5.28540221886225,3.32192809488736,3.32192809488736,3.32192809488736,5.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736,4.95419631038687,3.32192809488736,4.8073549220576,6.08746284125034,5.49185309632967,7.39231742277876,5.08746284125034,7.96000193206808,6.24792751344359,3.32192809488736,5.4594316186373,3.32192809488736,4.24792751344359,4.85798099512757,4.8073549220576,3.58496250072116,6.04439411935845,6.95419631038687,3.32192809488736,5.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6,7.53138146051631,6.35755200461808,5.61470984411521,3.32192809488736,5.16992500144231,6.18982455888002,3.32192809488736,3.32192809488736
"AB000409_at",3.32192809488736,3.32192809488736,7.14974711950468,3.32192809488736,7.88874324889826,3.32192809488736,6.44294349584873,3.32192809488736,7.20945336562895,3.32192809488736,3.32192809488736,7.02236781302845,3.32192809488736,3.32192809488736,7.18982455888002,5.52356195605701,6.96578428466209,4.90689059560852,6.18982455888002,3.4594316186373,6.3037807481771,3.32192809488736,3.32192809488736,8.42206476617281,6.12928301694497,6.24792751344359,3.32192809488736,7.49185309632967,3.32192809488736,8.76818432477693,3.32192809488736,6.4594316186373,3.32192809488736,5.28540221886225,8.55842071326866,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.49984588708321,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.96578428466209,7.06608919045777,6.91886323727459,7.33091687811462,3.32192809488736,4.75488750216347,3.32192809488736,4.16992500144231,6.65821148275179,6.96578428466209,6.44294349584873,3.32192809488736,3.32192809488736,3.32192809488736,6.04439411935845,3.32192809488736,3.32192809488736,3.32192809488736,8.41362792902417,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.24792751344359,8.70390357344466,9.72280753116955,8.65463602852797
"AB000468_at",8.56224242422107,7.96000193206808,8.49984588708321,8.05528243550119,9.11374216604919,6.78135971352466,8.28540221886225,7.89481776330794,9.8073549220576,7.83920378809694,11.2485206049384,5.24792751344359,9.87190523765919,9.4898479604393,10.3320365483617,8.4797802640291,8.93957921431469,9.4757334309664,9.11113567023471,9.7431513941125,9.75321674917896,10.1873520732005,7.96578428466209,9.17741953798924,3.32192809488736,8.11894107272351,3.32192809488736,6.4594316186373,3.32192809488736,9.15987133677839,8.07681559705083,9.08214904135387,8.76818432477693,9.01680828768655,3.32192809488736,6.79441586635011,6.93073733756289,8.55458885167764,3.32192809488736,4,8.08746284125034,9.58683978796183,10.7862696276485,3.32192809488736,9.58308276750293,7.94836723158468,9.00842862207058,8.01122725542325,3.32192809488736,4.70043971814109,9.05256805080415,9.87190523765919,9.36194377373524,9.4178525148859,10.8217739819706,8.29462074889163,7.90086680798075,8.38801728534514,7.88264304936184,11.2894425756883,6.49185309632967,8.55458885167764,8.62205181945638,7.58496250072116,4.90689059560852,8.2045711442492,7.89481776330794,8.06069593168755,9.62753388447279,9.16741814583174,7.97727992349992,8.37937836707126
"AB000584_at",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4,3.32192809488736,7.06608919045777,3.70043971814109,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.06608919045777,5.16992500144231,3.32192809488736,6.7279204545632,3.32192809488736,3.32192809488736,3.32192809488736,6.84549005094437,3.32192809488736,9.98013957763916,10.880348808156,3.32192809488736,3.70043971814109,3.32192809488736,3.32192809488736,3.32192809488736,6.20945336562895,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.95419631038687,6.71424551766612,6.6724253419715,3.32192809488736,3.90689059560852,6.32192809488736,3.32192809488736,6.33985000288462,3.32192809488736,3.32192809488736,6.2667865406949,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.4594316186373,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.34872815423108,5.90689059560852,3.32192809488736,3.32192809488736
"AB002314_at",3.32192809488736,3.32192809488736,6.55458885167764,3.32192809488736,3.32192809488736,3.32192809488736,5.04439411935845,3.32192809488736,5.08746284125034,3.32192809488736,3.32192809488736,3.32192809488736,5.78135971352466,3.32192809488736,3.32192809488736,3.32192809488736,3.8073549220576,5.52356195605701,6.4093909361377,5.35755200461808,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.64385618977472,5.4262647547021,7.09803208296053,3.32192809488736,3.32192809488736,3.8073549220576,5.28540221886225,5.16992500144231,6.3037807481771,3.32192809488736,5.55458885167764,3.32192809488736,6.52356195605701,6.52356195605701,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.17990909001493,6.20945336562895,6.68650052718322,6.4262647547021,6.06608919045777,5.70043971814109,6.93073733756289,3.32192809488736,6.94251450533924,4,3.32192809488736,6.52356195605701,4.64385618977472,4.32192809488736,3.32192809488736,3.32192809488736,4.16992500144231,3.32192809488736,4.58496250072116,6.08746284125034,3.32192809488736,6.49185309632967,7.17990909001493,5.4594316186373,6.02236781302845,5.90689059560852,3.32192809488736,3.32192809488736
