,BL,BL,BL,BL,BL,BL,BL,LCNEC,LCNEC,LCNEC,LCNEC,LCNEC,SCLC,SCLC,SCLC,SCLC
A_33_P3713357,8.72152989342016,9.07517344575272,8.30462311997475,8.69805084461696,8.72013118466247,8.70255801415757,8.82833164164796,5.30920391393381,6.59622965483367,6.64201228615821,4.20747099570455,7.15302473168318,7.74029026129086,8.29542884338321,8.65354348334879,5.13083674849631
A_23_P83098,11.4084269268331,11.6397011094519,11.136567435141,11.9316603061513,11.789287459623,12.0326682952045,11.4163276115738,4.37976781006114,4.19916967721115,9.38208582446212,9.1726860852441,4.77534397723814,4.32169064862695,8.25863011419361,3.62689649210244,8.24566223718191
A_33_P3379644,10.3876277141155,10.7199080963088,10.214562838419,10.9775353483517,10.5791957866145,10.9158192342113,10.5126454979378,5.04770014991565,4.71325361285891,8.3093943072138,9.4024073999644,4.41028739486127,5.08138046611649,8.05331886311293,4.97215077810071,8.02866975049256
A_23_P205959,6.31085283309066,8.84190067545133,6.16517248645121,7.00612360596187,6.72724942331982,8.38058588422838,6.36982778190494,3.48551807246652,4.52439022554053,4.66074944264964,4.59324669335444,3.68797982037017,3.6453798383309,3.77946548489964,3.43638952595473,4.60811187299256
A_24_P64233,4.65965363230608,4.67772523366546,4.60892055891341,4.73094065223447,4.63173162631113,4.97323649409955,5.02284474726061,5.42540654377611,6.10121132047475,6.48702494206434,6.16642841132037,6.3579880534863,5.58993718948266,6.06779116189477,5.29460344036641,5.65445627655404
A_23_P36753,8.56245293488957,9.0836659277062,9.12089171259404,9.12876241779514,8.89998100797544,8.62696386872467,8.79977642558883,7.32740556855104,8.71998185416088,5.45346062034875,7.98633915088033,5.39035973856349,5.32732243494773,5.66328191791003,6.64521178086104,6.61491479052571
A_33_P3238433,5.87837488345182,10.377733231904,5.89362209533008,7.97753442441457,6.71098833791264,7.75079546020454,6.33646341680024,4.03458623735107,4.25602623029225,4.46846656621397,4.97071372004253,4.5263479550615,4.45619559333345,4.75726109990367,5.09199419775937,5.19527705189311
A_24_P218688,8.2658234469888,7.94066645779774,7.51383186396365,8.23458135280726,8.65042605889611,8.25627101152349,7.82861703828751,5.04770014991565,4.99353662363873,5.51710112229077,6.46016029694536,5.60309095408978,6.08508910697614,5.58817368114004,5.47616158467827,6.45091361199048
A_33_P3236563,7.28060337423056,7.39564730499616,7.13504314206177,7.16346812281498,7.25986760200403,7.38516748297582,7.14128418910323,5.78661487589586,5.81171398658914,5.61969055837478,6.76815233871256,5.79150696792968,6.14046085129772,6.09699356660207,5.62974153171053,6.0923757197732
A_32_P28939,7.79399393581749,7.46924056103557,7.34024587379936,7.35464132190284,7.52855731989705,7.48920137889414,7.27508350591055,8.80230659649565,8.71359300878911,8.14727213913537,8.96924464349857,7.74071313895701,8.31839066178231,8.05848607039064,7.67052849596588,8.27938172051182
A_23_P312174,6.91340547618299,6.2223328579753,6.20099879584499,6.71240020830947,7.15016883124794,7.18896070714047,7.11367595222367,5.54966180932502,5.72315921562407,5.32505182308771,4.2794310587721,6.63146279926022,5.71555082755127,5.777345200044,5.41312429190683,5.6332579404676
A_33_P3332724,9.7822520368391,9.10966113322016,9.09113969843957,9.4607388955885,9.23365133034542,9.48736416413413,9.24134435872785,7.57445697765007,7.38907272269494,7.49920377187407,7.12183221372492,8.85520162409602,8.62724005684823,8.37360235815916,8.16151340146908,8.72381265704224
A_23_P55373,11.8690530596834,11.4096413537179,10.6290043349937,12.0113740071688,11.660927387486,11.4973853439187,11.4540151394656,3.38055922425958,3.70928831774638,3.90500051671397,4.55311232633976,3.92372152447186,4.12786599780978,6.86867817241279,4.89915212462479,3.91435877644676
A_33_P3361348,6.69497708938726,6.48503564248436,5.95740874002867,6.23925402423383,7.14892859867335,6.32891199236145,5.9295710831438,4.16093699444031,4.83671735770048,4.60626208031785,4.70981216076162,4.77053616413079,4.59883910034788,5.12466760745741,4.46846656621397,4.69248067224551
A_24_P347378,6.2116445478384,6.38258870226262,6.88559114819088,6.60857731221328,7.59089869149393,5.94801370550677,7.12622517431472,5.4087927795087,4.69552292069396,3.92051852069589,4.52899018668569,4.73895997322449,2.9937800159334,3.3171686960983,4.42796072163363,6.04472322903898
A_23_P133133,5.67014516861759,5.55403494637181,5.42040520508885,5.6260947290249,5.11948933307057,6.11726820404394,5.79962377026484,4.26894584746726,5.16669369120651,3.50946889186533,4.00119048790744,5.02433999941477,3.74961024928447,4.45002074420097,4.66786138575386,4.69248067224551
A_23_P349343,9.04988450309246,8.42225175081202,8.04378307629171,8.9812481937748,8.51013645758354,9.16964497216205,8.71916660956554,4.83039266892759,3.90515431439632,4.3496630987102,5.51217025179222,4.89999529618449,4.38029366429595,4.29329384321123,3.8247127081822,3.50946889186533
A_23_P353742,5.41407491355974,5.51759328370107,5.49127456807363,5.6260947290249,5.2916572743742,5.18167738209776,5.04770014991565,5.62426786499074,5.52691259101015,6.63998397475332,6.11856651256002,7.00822644439113,6.40961510304646,6.33339168031894,6.21031986060356,5.71632447822295
A_24_P304154,6.74820386974713,6.417305020236,6.25009064175486,6.017911123226,6.89138045690208,6.89412452014654,6.64058438487582,4.53126532024372,3.34464157910253,5.55899744739079,4.31522702220284,5.0544994094396,4.49830320856537,6.12984294058262,4.54201992044785,5.5521871977443
A_23_P23611,12.4366846100236,11.7907323818923,10.7193297440919,12.1970653335956,11.9341298711342,11.9050190288592,11.8417168884853,8.35896597275298,7.84803316082206,6.47011658847298,4.76218289894383,5.97141989032072,5.67788978254002,6.06277910614195,8.96696342758663,7.53294166849629
A_33_P3363655,7.97735553924702,7.68812410457141,7.84860781478663,7.9239630130926,7.86832536968139,7.71089738867295,7.8965069905238,9.34446393521934,8.79334143313582,8.83500649664935,9.20613087719931,9.08318200413893,8.2043300638621,8.82450361818029,8.79962795105514,9.14445293318415
A_23_P317800,8.9877416645842,7.84740952610475,8.03489919728752,8.44353212796642,8.17138784736645,8.0357732757667,9.02725167513945,7.11897055791324,7.23381005328778,7.59140740558317,6.49755282358313,6.41057853590496,7.03227594694593,6.78681040837958,6.93537182348086,7.29452344594545
A_33_P3236177,6.65402013373234,7.05399332691409,7.10081564477308,6.62663414331783,5.47067455895797,6.4813464778807,6.87955387915981,3.91204107090361,3.63404395905001,4.94926321338155,5.188768158687,2.6173059275526,2.92469295859305,3.16700987271659,4.59180001165699,2.48556083392691
A_23_P64161,5.06531200944848,4.25602623029225,3.22603963665681,5.4690543113999,4.03458623735107,5.1285391522816,4.78041291009748,2.78412884380874,2.9739709189501,2.58813740914565,3.41963440046782,2.66122860151306,3.19191134128672,2.28023499059608,2.40455069776788,3.50946889186533
A_24_P162173,9.28709352313638,9.02526266621558,8.75982813917563,9.31602851942433,8.9446134870775,9.18452071954663,8.99981706871057,8.59402393354685,8.67020507840114,4.17598028201454,6.31793412172343,5.27661608064749,8.17561545719007,8.25420525915615,6.85074265591731,8.07680268424354
A_33_P3218783,9.38609303740348,9.1314086741189,9.05735064583794,9.54202962763912,8.88649896068359,9.31319643152024,9.06014051791128,8.75925599914329,8.87866621399133,4.89090668546365,6.33841475843433,4.98502028919232,8.43076910854998,8.23772124819862,7.05339059674653,5.38091844296615
A_33_P3342448,6.4217611942668,5.95086399015335,6.93421522123197,6.3752689994382,6.63477596604836,6.40696106239876,6.24342552151243,4.63557786693213,4.97502060700391,4.00681040675592,4.40604056545708,4.46846656621397,4.69248067224551,4.51850104655646,4.26308763295795,4.73373169064489
A_33_P3311235,5.26376527566403,4.46438782781157,4.96783530245445,4.67846399337645,4.2794310587721,4.68898924878759,4.54770944537787,3.84367823182261,4.09914439377385,4.00681040675592,4.07794438009797,1.92890270844988,3.40693910779701,2.9967427568646,3.30570914665532,3.19191134128672
A_23_P350698,7.63013574464794,7.66098142741596,7.39805495279315,7.85990796522979,8.02884238521707,7.45992404593946,8.17514760275913,4.98074319527145,3.71912410826974,3.22603963665681,3.86239766814142,3.50946889186533,3.81833505519691,3.33727698856858,4.79347759545785,4.00681040675592
A_23_P58443,5.46395616513868,5.51759328370107,5.45473385493971,5.86991971844055,5.37983608827076,5.68424250876799,5.55115324902932,4.98074319527145,5.43819164584383,5.2584749566023,4.65180992642492,4.32288056379,2.8729682860901,4.12521369630184,4.63920080700303,4.00681040675592
A_33_P3315554,7.44874164792959,7.00436889621035,7.19949526898752,7.16346812281498,6.73361815588659,7.35519213467599,7.09306185436202,5.6594810207916,5.27195629418808,4.80481294205907,5.4802072186083,4.89999529618449,5.19527705189311,5.58817368114004,4.8740940528357,4.33410043815127
A_23_P380881,5.29969189069816,5.85675439155293,5.85324924811309,5.51217025179222,4.51456152911682,5.70167265053511,5.99677193136454,6.64764849540677,8.21817309702329,9.66163463756237,8.58248575339895,6.71871380874823,9.12399386395551,7.85358689042179,7.43578032557637,9.83249066042935
A_23_P115597,8.17385125987188,7.48134324320359,7.31642987655107,8.02781426228498,7.5234578523771,7.6449690342197,7.81683418086137,7.39580263641064,7.06204742955111,6.68119788793787,5.67364477306845,6.51632989880057,6.99696498737911,6.36368620528661,6.71518618356678,6.05811005032132
A_24_P237586,9.2263687387915,8.76501903121942,8.28690751619102,9.09006466006206,8.30327027429262,8.78176159035915,8.50834231795508,5.0893480762372,6.9434022330379,6.06030593812057,4.97071372004253,7.50789933787019,5.60772114629589,6.33339168031894,6.62407469043671,5.67368243898098
A_33_P3386581,7.47432010041323,7.55971708962578,7.76785808251447,7.12215587498712,7.97377317005286,7.77569724068357,7.69684208197402,8.27298293207467,8.29123153017872,8.67589339204572,8.12370477502805,8.07722007407775,7.94167537747984,8.14774911974457,8.64367839688886,7.83218246695149
A_32_P69166,7.87083141378137,7.07762443773642,6.83818861011206,7.76971857843694,7.26778819502131,7.46974932052687,7.61066100324708,4.46029752543754,4.79022249897934,3.97275774678013,2.29865674457948,2.53468009361956,4.3385640693407,3.09498904499365,4.40178119783779,4.46846656621397
A_33_P3224135,8.67809641375124,7.53926125729664,7.68352598997357,8.81812503876735,7.83435701019835,8.67842657704925,8.07052730252732,6.66552364553868,6.5164006504201,5.78906299551047,5.7874313774357,6.85074265591731,6.9308935231054,6.83206824611075,6.48453224611867,6.51787734768935
A_23_P120921,4.08156853886971,3.78837221903256,3.49783520358528,3.98792307837273,3.82565302908147,4.36849676551056,4.09030913225212,3.00595409207213,3.01505491076324,3.13178843401293,3.07178954178783,3.13062193037305,3.32044955781903,3.55975960807437,3.12486999850421,3.29802284569535
A_24_P340954,9.27302500451183,8.63139565704244,7.62214854549118,9.02595471322896,8.41103725029147,8.80553457231675,8.87588588543322,2.66122860151306,3.30570914665532,3.50946889186533,2.29865674457948,6.20207646899737,4.29559141171575,4.51850104655646,5.72615229823283,1.96312637735355
A_23_P20615,6.80832980784641,7.4469340577396,7.30418663973063,6.78889067439305,7.38907272269494,7.03545987502171,6.79803539001565,8.62986004876837,8.90354510244655,8.58430753526717,8.26714112084395,8.28177396819423,9.18587604116202,8.38457098115872,7.97967931812056,7.69183568390637
A_24_P392690,5.95304887400535,6.0989681279591,5.55499423445524,5.9023168237809,6.40376975527824,5.83005774089337,5.68599502985037,7.51531119155535,7.80381280813941,7.39350379525307,6.87859610099076,6.98278780071271,7.80844592357439,7.21444743608859,7.01904254890825,6.58984898543612
A_33_P3407299,7.50963217941172,7.76495920034098,6.92088229293357,7.32963453550431,7.35160808683765,7.43408676833976,7.3313152075155,8.08338336634369,10.4623560104474,9.6967731984333,7.99936985766663,9.42989200464751,8.42304007843129,9.01719316404248,9.26630507420789,9.72506918105877
A_23_P1170,5.32604775613578,5.33510168164243,4.81333749742631,4.55376191511297,4.71853420651944,5.45026687188027,5.12663815861441,4.32270642699164,4.47701090087485,3.90423461298243,3.71802091841515,3.48283044024693,4.54580881588196,3.98705232268671,3.23573892180366,3.72774988756481
A_23_P94501,10.6078571428572,11.3423734591568,10.5514714115767,11.1309288556633,10.9566521523884,11.8381429970562,10.8465188963589,8.25246321302291,7.33913255913851,5.6035436199165,5.35953667871932,5.12673166021894,4.23703186423393,5.40092991527054,7.58062595224799,9.32715162550207
A_23_P35399,8.22330920759316,8.61119960915996,8.63280278155719,8.39994699013734,8.58160662906847,8.58752465165617,8.53488581940267,7.95482857791277,7.2275165046102,6.62593352305333,5.60396278734677,6.23689307556247,4.73547340199809,5.71182952362495,5.7174281349828,6.58326649243808
A_32_P150632,6.00299849383004,6.61948257789421,6.07329594589569,5.5549601473326,5.02271341719906,6.44257470427545,6.02274356480542,4.85307981525716,5.02028210567258,4.07314211503695,3.34581497086239,4.26650048787972,4.58096291099682,5.11695418097557,3.9744322289191,5.07490094443834
