"","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG"
"1262_s_at",3.32192809488736,3.32192809488736,5.55305325276641,4.29351763041742,3.32192809488736,5.42592920520858,6.39951292418296,5.41345868800798,6.02724253597374,5.13175409098481,4.78293270482084,3.70708299177171,6.1622906135458,3.88849973551412,3.32192809488736,5.80477637795583,4.06781078378962,4.73335434061383,3.32192809488736,4.28909670241999,3.32192809488736,4.76075320806299,4.12018602753186,3.70818723602071,3.32192809488736,5.12722055048807,3.32192809488736,3.32192809488736
"1269_at",3.53605290024021,6.40956065498278,4.44559429134118,6.53403046657407,5.05571626351254,4.25171909260596,5.62789861587175,3.32192809488736,4.75915583380027,5.58916423669977,3.53605290024021,5.86319511247319,5.72519581722666,4.59036248846375,4.40599235967584,4.68313498512609,4.93310047493137,5.10097764772482,3.32192809488736,3.43962313755712,4.68594014844598,3.32192809488736,3.51475349843975,3.82680268428583,3.84398384404833,3.32192809488736,3.32192809488736,5.33306587807636
"1277_at",6.34518344718767,5.64731450954714,4.76712507726907,4.48542682717024,5.7839804136838,4.68425770505893,3.32192809488736,3.32192809488736,6.31650781910311,4.72683121703249,3.32192809488736,3.32192809488736,4.19140472885276,5.28798935040895,4.39231742277876,4.01703108052784,4.03210084316702,3.32192809488736,5.35155766245043,4.73930807086039,5.54843662469604,4.41210404467757,3.32192809488736,4.22650852980868,3.32192809488736,3.32192809488736,4.58556349845569,4.36597242759338
"1319_at",4.09592441999854,3.75595576955096,5.16269343221124,4.08831123588866,4.02945288578697,6.70321146739115,4.52669484554198,6.85012431429571,4.70210340662939,3.32192809488736,3.44757919654888,4.74738739965272,6.54997714277182,4.78188423454149,3.32192809488736,5.59902017739168,3.32192809488736,4.35402893805439,4.25550073314839,3.32192809488736,3.32192809488736,5.42894634476948,3.32192809488736,3.32192809488736,3.42223300068305,3.32192809488736,4.91790907385298,4.45549162062847
"1321_s_at",5.6724253419715,3.32192809488736,6.86158323180777,4.55581615506164,3.68481873755322,7.34331898366107,6.59454854955035,7.24231668224486,4.27426166125705,3.32192809488736,5.9898202201176,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.81044310384517,3.32192809488736,4.56742375770728,3.32192809488736,4.13996056954546,3.32192809488736,5.17112674665207,3.99548451887751,3.43962313755712,3.32192809488736,3.67355642399014,5.55918586578773,4.3819754785573
"1327_s_at",3.32192809488736,6.4556560022205,5.38818953715608,5.18745105402733,5.43496176018725,5.88581837198992,7.19760987837947,5.08788710093312,5.48639259427596,3.32192809488736,6.88813438835287,6.00831656373499,7.09053590100317,5.77768271707355,4.12101540096137,3.36457243229586,5.44923120066949,4.09423606984577,3.8094144442359,5.97911075501579,4.02059109477325,5.30597052098439,4.79493566280354,4.70984201927331,3.32192809488736,4.84749588378871,4.10013667128545,6.1876489953106
"1333_f_at",3.32192809488736,6.45121111183233,5.77925972037238,6.37677657188298,5.26190685982807,4.07553263116736,4.98959318493877,5.43895814789755,5.19416586852982,3.32192809488736,5.65764000520782,5.31903981556254,3.32192809488736,4.71204544855369,6.4594316186373,3.32192809488736,4.61999982982136,3.97911075501579,3.32192809488736,6.20789285164133,6.66006722293064,4.854993016757,3.32192809488736,4.7457751494858,3.32192809488736,3.32192809488736,3.32192809488736,5.32481060342048
"1336_s_at",3.32192809488736,9.1495439087091,3.78764141448333,4.78188423454149,8.81111776333569,4.79129314859221,4.02502879449152,3.69041709553247,3.98823022306046,5.39814511650441,3.62058641045188,3.8073549220576,4.80271021929134,6.73416766115076,4.24792751344359,4.32840565895857,7.78286719774698,5.24868662687383,4.19219416528334,4.38887833881199,3.4867143730307,3.8499992594661,3.44095219802964,3.32192809488736,3.49185309632967,3.32192809488736,3.32192809488736,5.20750245925879
"1346_at",7.96405201104085,11.2689513003732,9.65474342118394,8.53981795662913,10.691917957844,9.29588370273057,11.6103789452653,10.1313425391233,10.4500771201737,9.9045593617479,11.4850745636986,9.71565317586555,11.8531145834403,10.7722320847115,8.09961081196091,9.76990394498066,9.37677657188298,8.80992886572143,6.66063774000813,9.69903448713861,7.39309008817662,9.72846476509253,10.0808175276083,10.9662891395819,9.69024247528257,10.3701424794954,8.81717554331077,8.03105327444437
"1355_g_at",3.41953889151378,7.34819700307791,3.32192809488736,3.3547342399706,5.8569856897822,4.73606362787181,4.24792751344359,3.90881290773955,4.08576455377831,3.86294724802092,3.3533232911629,5.3526172989585,5.3305584000308,5.31179371775365,5.95652136333312,3.32192809488736,5.27686882997646,4.13504228623365,3.32192809488736,3.32192809488736,4.71973105674985,3.32192809488736,3.32192809488736,3.32192809488736,3.53605290024021,3.32192809488736,3.57531233068744,4.62117275268344
"1369_s_at",4.8972404255748,3.32192809488736,5.32624970083746,3.32192809488736,3.32192809488736,8.23639694577668,7.36649707577453,8.04854136569376,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.74146698640115,3.32192809488736,3.6507645591169,3.32192809488736,3.32192809488736,3.32192809488736,5.97521745704302,4.23112515787905,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"1385_at",7.05528243550119,3.32192809488736,8.02901108665907,4.59514556799086,3.32192809488736,9.80749982834444,6.96659196775482,8.66070903878206,8.48010352081757,4.29057185085208,5.97407036702403,4.44890095114513,5.70376517879341,4.35825558670513,3.32192809488736,7.64544228212875,3.32192809488736,7.52904005609508,4.98413359454098,4.36876834909033,4.17552460108987,7.06619685024969,6.40871186102943,4.01881218574282,5.20711196120771,6.31469652565629,6.77228157880356,5.18745105402733
"1396_at",9.46862404291802,6.38939472432399,9.69828794376315,8.26434876335117,6.77860284514321,10.3054917921107,8.19765901900454,9.15532422905059,9.36266713242716,5.43362716708478,7.42735475187896,9.67583356964818,9.41204051455165,6.53075745746122,5.4594316186373,9.06215409963335,6.30815697511476,8.42852767474104,5.22766407255439,6.01390884549064,4.1586601753465,7.37955165336549,8.17707065762942,9.43650334601291,9.06934235011739,8.87620995751375,8.17442639367725,7.76540213962168
"1427_g_at",3.32192809488736,4.88996019965864,5.03386345186628,4.57288966842058,4.44890095114513,5.93073733756289,5.77873424411784,5.90496571868403,5.49313492230551,3.32192809488736,5.04395687279021,4.37086174008529,6.45549162062847,4.88898672118656,3.32192809488736,5.33985000288462,3.32192809488736,3.45022149589718,3.32192809488736,4.10936055940423,3.32192809488736,4.12845838414693,3.82680268428583,3.88264304936184,3.98550043030489,3.70487196445635,4.53977919169849,5.05267672430358
"1451_s_at",4.69488019279919,3.62410089462811,6.90929308582382,3.32192809488736,3.37989816352469,5.94063660720115,3.73552217729654,8.04575966138268,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.90881290773955,3.32192809488736,3.32192809488736,5.20554891117303,3.32192809488736,4.36946648365072,3.32192809488736,3.69041709553247,3.32192809488736,3.32192809488736,3.32192809488736,4.28392177230762,5.19849415363908,6.1554254317472,7.89711938903453,3.32192809488736
"1456_s_at",4.49825086752783,4.0241423458978,5.141187525005,5.74496834824888,3.32192809488736,5.48767927890162,6.45549162062847,5.56010351346474,4.73660487531425,5.46825746832314,4.53667461756976,3.32192809488736,5.98732086592925,4.05311133645956,3.32192809488736,5.51884982870769,3.32192809488736,4.92076967302065,4.42492208821069,3.32192809488736,3.32192809488736,4.73822740036724,4.16671544496642,4.25701061820602,3.32192809488736,3.32192809488736,4.99909803370561,4.3819754785573
"1470_at",7.60288440871842,6.65849713665648,6.85486838326024,7.4007086930379,3.32192809488736,8.27617094307334,7.4113414984629,7.74112986873613,7.75988818322184,7.72444563897583,7.34367430538958,6.34145210748113,7.99305159531495,6.93369065495223,5.48864353985378,6.65477921695952,3.32192809488736,4.82476785314329,8.18759951253579,5.50589092972996,5.32192809488736,7.18090370917938,7.2665991655351,7.42525787199921,7.29406929508831,7.41235813720898,6.94556088599388,5.47053686509258
"1486_at",3.32192809488736,3.32192809488736,6.09803208296053,7.67919857056692,3.32192809488736,3.32192809488736,4.52669484554198,5.22149045504206,7.13688860790307,6.37833821198591,3.32192809488736,3.32192809488736,7.9354008129806,3.32192809488736,3.32192809488736,5.24640808724638,3.32192809488736,3.32192809488736,3.32192809488736,6.08618931310448,3.32192809488736,6.74335339094491,5.82068956055921,5.97154355395077,6.55673594791453,7.04286317624712,5.35720008486005,3.75488750216347
"1491_at",4.84799690655495,3.32192809488736,5.28429202639431,3.32192809488736,3.32192809488736,6.46057876077603,7.60903095131119,6.83099048124926,3.32192809488736,3.32192809488736,4.93781516880342,3.32192809488736,4.24336442569366,3.32192809488736,3.32192809488736,5.48767927890162,3.32192809488736,3.32192809488736,3.97636363573276,3.32192809488736,3.32192809488736,5.67383905599044,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.12928301694497,3.32192809488736
"1507_s_at",3.58496250072116,3.54596836910529,6.35085080548338,5.45220004940622,3.32192809488736,6.67567481560108,5.97727992349992,5.76420813013995,5.8171115727957,3.32192809488736,3.32192809488736,4.07296327155522,4.74953426766926,3.32192809488736,3.32192809488736,4.16510798514454,3.32192809488736,6.20886837067295,3.32192809488736,3.32192809488736,3.32192809488736,4.57591736111815,3.5765221379205,3.97361127551947,3.50842865253186,3.32192809488736,3.32192809488736,4.75702324650746
"1511_at",3.32192809488736,8.44964390629375,3.67016051412663,4.82068956055921,7.3671963100259,5.32840565895857,5.66817586897014,4.90929308582382,6.41869594960205,7.88123634742788,3.32192809488736,6.14893410452634,3.32192809488736,6.74953426766926,7.17392693199981,4.74899785009815,6.03254169727004,5.15704371014558,3.32192809488736,5.85574059171503,3.32192809488736,4.74092756031863,4.44559429134118,4.75114232472695,5.39746072605472,3.32192809488736,6.49936756634913,4.80580834870147
"1516_g_at",4.10433665981474,5.68818035858693,6.39626226099011,7.56552101806706,5.09971599916091,5.41210404467757,5.64587455030903,5.72574115650395,5.9676297534662,6.06328721220618,6.66006722293064,4.49633451341711,5.53605290024021,5.22650852980868,3.32192809488736,4.77610398807316,4.4757334309664,5.13051908302734,8.7977587829153,4.67412163263239,3.32192809488736,5.13216552547809,6.28169825009883,6.11956368441736,5.97384083953315,5.74685018309805,4.10517519226548,4.67412163263239
"1517_at",6.22689381357139,3.32192809488736,6.52919626799939,4.6915341649192,3.32192809488736,3.37989816352469,3.32192809488736,3.32192809488736,3.9560566524124,5.35085080548338,6.41717741190639,5.63633460244218,3.32192809488736,4.36946648365072,5.63226821549951,3.32192809488736,3.32192809488736,4.48928602262588,3.32192809488736,4.75488750216347,5.71808758396052,3.32192809488736,3.32192809488736,3.674686619928,4.11186596386756,3.66106547980695,3.32192809488736,3.32192809488736
"1519_at",3.32192809488736,6.31524015250724,6.00629802390037,5.799087306074,6.28835856219366,6.74725311426696,5.11478344724985,5.01836711554312,6.19554445921369,3.32192809488736,4.6046644151637,3.32192809488736,4.50080205305716,5.82807299786697,3.52356195605701,3.78555055173926,6.41430469462396,4.84398384404833,3.32192809488736,3.50589092972996,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.42894634476948,3.32192809488736,3.32192809488736,4.98913900736823
"1535_at",4.37851162325373,6.21955576916691,4.43496176018725,6.36369674483899,3.35049724708413,5.54008928198252,3.32192809488736,3.32192809488736,5.62906513709228,5.71232064074163,4.85399564717639,4.8499992594661,5.12804589092299,6.35825558670513,3.71149490665009,5.57833494868161,5.76579992328513,4.20006486151431,6.2037884533086,5.13422093976063,3.32192809488736,5.03694284479826,5.05137210172103,3.32192809488736,5.09887428674445,3.78764141448333,5.08533966935737,4.73009646559547
"1537_at",7.40258575823259,6.60496086950378,9.39636930728584,7.70321146739115,5.61412086878925,6.45022149589718,8.47969943851347,6.01077983875324,8.79672103608367,3.32192809488736,11.0063962126997,8.09803208296053,8.55305325276641,7.48952687991922,7.86913111964429,9.59833170444094,5.54442356218942,3.87578006306849,5.13627342985058,7.12876767668555,7.37312615775892,8.41696637742231,8.88773849116036,9.30113033051831,6.21645486514476,9.7180704545959,5.82349462471286,7.51506901403224
"1544_at",3.32192809488736,3.32192809488736,5.56924802986718,6.1725275187,3.32192809488736,3.89627184880738,5.32300971061281,3.90110824301451,3.99457972421575,6.61706334388818,5.60733031374961,3.45549162062847,5.04220656012069,4.51032901949057,3.32192809488736,4.01703108052784,3.32192809488736,5.77241355474848,4.73606362787181,5.07510472220949,3.32192809488736,4.66505161428921,4.50652577904312,4.98913900736823,5.26416107128808,4.55274593674845,3.37155886261196,3.38956681176273
"1558_g_at",3.43295940727611,7.57455568565992,4.98550043030489,3.90400231628369,6.81826260830447,5.18308946064076,4.7311832415722,4.29130885982897,4.99774402605963,4.98185265328974,3.4594316186373,3.32192809488736,4.6564963705535,5.76897825034455,3.72246602447109,3.92029330021101,5.65935375917005,4.14812063112396,4.64443315240625,3.90496571868403,3.32192809488736,3.83187724119167,4.12598165385472,3.32192809488736,3.42223300068305,4.01256867350306,3.32192809488736,3.32192809488736
"1561_at",4.79181407116183,7.21945896673517,5.04701481951759,5.84172158112846,4.90689059560852,5.15380533607904,3.32192809488736,4.78659636189081,5.59842476052772,6.11873347576784,3.32192809488736,3.32192809488736,3.32192809488736,6.56833618213375,3.32192809488736,4.79129314859221,4.4276061727819,4.12101540096137,5.70210340662939,3.32192809488736,3.32192809488736,4.68032435684402,5.2137360959228,4.31324585178756,5.51096191927738,3.32192809488736,4.9481335778404,3.32192809488736
"1562_g_at",3.32192809488736,8.89029468123268,4.40394936423287,5.89893387178018,6.99491908871511,4.70210340662939,4.18745105402733,3.32192809488736,5.3501436020178,5.02458563827827,3.86294724802092,4.66049513188851,5.29388543030237,5.01747656302046,4.93073733756289,4.18586654531133,6.47961860846942,4.790772037862,5.72027846523333,3.56071495447448,3.68257329734758,3.32192809488736,4.01792190799726,3.87676249078156,5.9371089462026,3.32192809488736,4.31324585178756,4.94485844580754
"1566_at",3.32192809488736,5.42290574261218,5.47053686509258,7.00618579994629,6.47200029214035,5.54997714277182,4.82527683005487,3.32192809488736,6.32030414932561,5.92599941855622,3.32192809488736,5.05006629830629,4.57712666130705,6.74294936899383,4.41278152533848,3.32192809488736,5.99638874644762,5.39369076418745,5.63226821549951,5.17312743348066,4.53791724903408,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.47118746038699,3.32192809488736,5.27947129564447
"1585_at",6.98527271425345,4.08065766334523,3.87282875953489,5.03210084316702,5.44194819050336,4.49121175600309,4.16269343221124,3.32192809488736,5.05006629830629,8.38969586387232,3.32192809488736,3.32192809488736,3.71259578044703,5.58556349845569,3.32192809488736,3.32192809488736,6.37833821198591,6.02702131462225,3.32192809488736,3.32192809488736,3.65878273401283,3.32192809488736,3.43295940727611,3.32192809488736,3.32192809488736,3.32192809488736,5.15785216914174,4.12515513132229
"1586_at",7.24982454861618,7.45885770533525,9.35777191088189,4.78188423454149,7.30149619498255,9.2122775020862,7.9579726209154,9.64922024444116,8.69693276207951,6.7714894695006,7.78430766672839,7.68558980116994,8.03924808370293,7.63952159951083,6.08321336824898,9.19697089788995,6.31251996747495,6.85536685265826,5.61794491742059,7.33261843365355,6.33181268381921,7.84423498775875,6.75582227937822,8.80009098762499,7.17502551953341,7.77630142370163,8.86777294029372,6.34216358328935
"1591_s_at",4.54225804976692,4.83137058796754,3.32192809488736,3.32192809488736,3.32192809488736,3.99367436175058,4.26002565596146,3.7279204545632,3.58976348698498,9.21271523509818,3.32192809488736,4.03650333373899,5.13257684267001,3.32192809488736,3.33628338786443,4.14730669878029,3.32192809488736,4.56071495447448,3.32192809488736,3.32192809488736,3.34908214639109,3.98550043030489,3.32192809488736,3.32192809488736,3.60999129521268,3.32192809488736,4.88996019965864,3.54596836910529
"160029_at",3.32192809488736,9.35974956032233,4.76341157447001,4.25247621413522,8.68229237143083,4.53667461756976,4.43629511983936,4.77768271707355,4.68257329734758,3.32192809488736,3.32192809488736,3.32192809488736,5.83693401132109,7.36824452637684,3.32192809488736,4.36176835941915,7.40463068421761,5.70929063572336,3.72246602447109,4.19377174339668,3.77820857639809,3.32192809488736,3.32192809488736,4.33699741660501,3.95791459863299,3.32192809488736,3.32192809488736,5.9126498648972
"160039_at",3.32192809488736,6.0866139474095,6.13791332208841,4.13504228623365,6.12080810229862,6.81147103052984,7.00202736474428,6.59961534862161,3.71039319217052,3.32192809488736,6.99774402605963,6.49649430685371,6.50620838930675,5.06738057801906,3.32192809488736,3.63343121035563,6.41835863488438,4.84096670448742,3.32192809488736,6.83819543925919,3.32192809488736,4.91073266190291,3.32192809488736,5.35720008486005,3.32192809488736,3.32192809488736,3.33913738491959,3.32192809488736
"1602_at",3.32192809488736,6.85274796480088,3.32192809488736,3.32192809488736,4.30742852519225,3.32192809488736,5.87578006306849,4.86393845042397,4.95279947789994,5.39471991299406,4.84949893172018,4.82374936030827,6.08576455377831,4.10852445677817,3.48542682717024,5.31251996747495,3.4867143730307,3.32192809488736,4.65821148275179,3.32192809488736,3.4867143730307,3.99004721957379,3.52230689287139,5.18665901720211,4.71479501111816,3.43562859405209,4.93734439215023,4.63226821549951
